L,lambda,d[0],Z[0],
8,0.43,1.2749631e+664,(1.274963067742588064594152477138751623197577382610156122814214401547081230520469642789243025305977761306966036480348767755990792917189904546347063121661349381344804933847404568766080729239717774440648198274110582429627346161591267293887070045143003869745985183292031291368312280128381403499846921483782876304255e+664 +0),
8,0.48,2.676709e+702,(2.676709040990017052188956642762567067442707754479738762888030609892843029148855814613105409062900464431837632929401307823475563115344283498302693663439425249119654624253635552835005182717435404463963631690878823986937639483085127195126592332893967136265920417714723854720717466395572619534107276531699664655790e+702 +0),
8,0.53,3.7417366e+733,(3.741736624724474380665888707861478981101894260095381540653205605776639845967634923010736569458737352128825150042428288188715348409793973154322563587017805173269084079935848096807839959718507834577287271851963986621686929400870111797804655471545763666122425235564984717228678290933133783762130712140763635256562e+733 +0),
8,0.58,3.4609662e+757,(3.460966219662300609647398454129550901232542483302099064615144030049461563706842064034423780755754374319424391738693616502714664538014158836071261726450597190799923629394617305471110806800919168676337625400414020113892244152023109117987078014312314407714442055500268805446824699840936707103321539199134315428260e+757 +0),
8,0.63,1.7802755e+774,(1.780275465515072190780157113968504188281202293891212080702666767184008404782223563204458371332470097687546639924230344053092281189937129784065625230793924085271277451408426979439712677677522520942468423768521787508524149560714655653717767750234871368889828603797945470333993988451071210000954846078308569367112e+774 +0),
8,0.68,3.6014449e+783,(3.601444934068110657569173248045739183008711270928702935739618010986052429990468513372831833582305521337686498729361296586207800579298183846107118446649768023152811684614578926913137544161387698706598401575053783344752033166125283861659248922277173815688788652369312446540853991102399654319695686447167811364090e+783 +0),
8,0.73,1.6829393e+785,(1.682939308547533352660963518980959453933387580779128703303069930217178420034184526102045609696468284648621211583439165962178183157651667943466072001777725146243809672928062673579630075523686509598916806296644496415601219735496960357180325556524749503391780271420151806568411278849816680082487791620372225694635e+785 +0),
8,0.78,8.6673016e+778,(8.667301642709448152916407877125806317977718287347795500168974528521428518420115054398599890064842769165912331291779238497017086146818759317278559864756752225892385184787120843355287822124584288058190671535850287274201960465617958971645370957011547567992597570236768682323285899279327333674829160646572955499449e+778 +0),
8,0.83,1.8433556e+764,(1.843355623438144788538717680682432112763006838147632047671029390186395832611990700666346996505872601411028950632667594635701979400725338225286789446633949137847525402527741078086961048966887532599374370430004294765627251892563689141929843264374854411850577606214154734833906478708896419538089251721133222450396e+764 +0),
8,0.88,4.5360693e+740,(4.536069320755821040325525834504179393695134705944391518932254850246566670741482817490047733417813273056924491317455609449311071888649087050836530607960187179910466725168852936024635247212765153826291791165124320121940143053135539032619821167924749416278231037324957637942738483695498539898190034897294206631729e+740 +0),
8,0.93,2.5215504e+707,(2.521550425840483641205295123810807024436938654396261015859445486646358811406914734772922040880370550032820953824038773193102325597978782294696190540744409442233737914171684530431150563801055429935448788450669851202237880688974503600821215908102740522988211084559470187322203670825481135109706803885606461814759e+707 +0),
8,0.98,3.8917059e+663,(3.891705944661422265807725740840031645670090943216170500440109349196466011544631389376920200286446743477832869437834915733987207039468165833881134552969972987162161647259415234779505611072890669364207559155563755257796474900999043029726868803321002067039903026365772497739124607932178327410803884255227208851536e+663 +0),
8,1.03,1.1118826e+608,(1.111882618905283727424085369593211673532738775877871767917659799280792804786910522456516445281888743134002735497236330693202903538239563510452091874659584498708891822514297780627023602120334988526493572226096160738399978752998404637121322463197426982278959136047613850429056577209606766177550772903313802576460e+608 +0),
8,1.08,1.702143e+539,(1.702142971515645633651573059632768569525407553177457431857652399405325113168236462185085460398116959854837512834978084847473135053424276478363738767840414062406782941903469891995413923247254267392927214457768039470093223337108816594146166746174512515262553852421098473581523488371252621824643940635730367401508e+539 +0),
8,1.13,1.2430113e+455,(1.243011323110362672907709312578018613571828507954857682417757403369356772235520360794680263479788168623344001842644999726543736826616867986597043948420621811001099700508700362866546336032799689659693380397572182853073435895369441826071358217460753386921914310759827550312604925762335117312449049633938006836633e+455 +0),
8,1.18,6.8092183e+352,(6.809218306281242699539540595874776293290766561224175697560585294924803356177554628817600917121609145649365855564700284303767063885150325448912697020846786341367122376766798805041483057199355266700444019630744668498283170936748454699174256232277376668070533375567743317845459328862850741087487078864050224525239e+352 +0),
