L,lambda,d[0],d[1],Z[0],Z[1],
11,0.43,1.5155066e+1244,1.5155066e+1244,(3.031013259649964325003929578330969702333401991760454598261522090595680098708028734908364681794588461217888224347181679628736583630182598793389936248769600528575715130329733167841530742053518356030513730306395484712519755922413730585327278811111107218248120949743299060730066736208569335603535551184093711230361e+1244 +0),(8.237158327078537756563646915386979758015288889667885651475743133962249707120483277536890506886550010253950352974656712792615254227696302439828148901827937711326328546982849727372114816400883692268753312136854440492851703615352513624141353165329564151587668720088583593236667060368554908062398150996836579893767e+1193 1.384238500070982021923390470863182638281727967226239964330374172400453162667487447091938650777333119695503567393788334453813271734403456042342138721126060725557876933593582694840588967047461840997771858029401476032509693804885695030392224942327339815333365734529261766523864789753943010146617395129626082339371e+936),
11,0.48,3.9658296e+1315,3.9658296e+1315,(7.931659219283051942123752433566451160637913978635664100239868121102535958386916330622838056330355208107594384532898638005008879112312353281607079043142642069355284856640150163732221127475926943909203529544484652124124703818228917567009212987756755283955304141154085143828597032732917805787406565380926250930010e+1315 +0),(1.129552803479048688014576864372749057159014753747866576778834077511832946163522467500818526207175303937672596104737483773529889833123048321863565017034486329649246056782240962028143481656066265209525518466115628219861037817464905454776299330582121335367386193070919589693512602237873496336919207767794308100323e+1271 3.622322675699046683557355774871363372115112454719848597889880902247539552216679953259455091291139755361926231270164561176756887270280027847313550597462240489314789168434291063811080047266786441448948656233140561374907217056102801057042026676820198938680162953812477267603515859131435026117853148154690753979921e+1007),
11,0.53,2.8056859e+1373,2.8056859e+1373,(5.611371846279198915058993087458200982152387407358405161841272393212169244577718825443054429544463639960213571485842855125277296580137453223267669436512419908210845172040272113357830284607341718676830403010492161692120256644337691285655097546613087353116697101881780390082059974401605743688366762282947456972054e+1373 +0),(2.395401283894411476471541759351346261495933147053733088513027528960219837383374889958325159736249289984234184910286336530184592180366074054570060261398184866861894110628204677759777963052816300600519506787876620655471631216112526858386333387732793347037864372960037509585312510301292424824622386788650984288843e+1333 2.562666766007839965050276712129827172463170934929477955836978384010913560131472848371462927006780693169548073823472797900160935685514241145036146853527081788067117556609231412820153243411052026998887141953765004038419009429594748060537808911323880704364615634198846978784952173167327918792919155898225070910434e+1065),
11,0.58,5.3165325e+1417,5.3165325e+1417,(1.063306501205841384162824636798570916042494938903557370980373386952346303968240975922854431228648132452018270464450195015198718453291949271152342005895285818500877261796053363413287085047538958872477398716549183680384408029790939013790750342144559354044756262165062002769174665675823169379770955843562586162545e+1418 +0),(1.978319425423655109757088340995941344174899700368504978823076336564299129456302740340049215149178798598705951227536418387804525561473719730092953150863837202782447904565444175926067599152115405181196889309859727434007378056997960307690698017064424229066895290731283352099124627733419919952000608822830372704481e+1381 4.856032192069249360019987174318416560730239735702048506818686186002555275064407210405514125098582369776325604800039136094016895436758383175316539404323095652795484917029810075242042150935879639567236703818025931471347345457404478564366879063598288201124182015947460064846756525150056408358612699153576939131569e+1109),
11,0.63,1.9469188e+1448,1.9469188e+1448,(3.893837677829224027205948999979149394445739531325500541584287575405124245809315774526248797204648227726292203065942543446559926691162412682029264169580858950308273769418709294088875390332523319910937953773134496919898297579862550571289896573519706569625739092620248258014876973264962911538497094448027969953929e+1448 +0),(7.687476220512112801609469779271384289357275920819169037528705804837120338998187148244921630150987702172562572178988562616849177036344628636159315774271936292753563022877968495555913405136471354788331120822406278674081045783797434316055309253123697371575142249114975235316369493982373655391017892103315075056339e+1414 1.778283222456329129719481424387510821211972560230049318273281482384730370249530364136696205421646344968129914173830835144081698149068629804742619682081853293735236836949478298756009891664133525083504043709105308165106626256138011933612679516900251390748944376263205835938683264067914134620280538053449465163272e+1140),
11,0.68,7.1713831e+1464,7.1713831e+1464,(1.434276629364056675456536605777474764828395169154398897224200877745342513674133004135928718985399223603032363154898624531708634466997220814364310008417444369695853016109389305163763754794143187860938830486375659634046234256489136533422075641747204274216563358688413212760673768924095634201669492143842869626392e+1465 +0),(1.024051174233546662496782864530859374794002641694384557014699549128328142348623245869603069338288396041943531793452440243871997347980692498141482125758286595372272861692323057069064091513150266779557526575146458063168284978095218747840279562695035959950279613008420472031913833320469705121288639942594234326105e+1434 6.550221856657422720729300160466230649548993431277542215851640609629461070883759786480061895463397298745460601214930704605881967047948389506514765486582738511264966969689208489267491034013475255146118103530749823763617714739891636571762941136320023472923866680758529392904367662906843520394589973833006734232368e+1156),
11,0.73,9.734787e+1466,9.734787e+1466,(1.946957408095823739966843832708872979321329258966818404282179966438030746164486325134815602781115001320816339432805497028034516340378316983252494534932009990396808880700488498443965396822652088531774299001114904775029968019655950356680673725521134298812003429873814092815905673048234957754889127556280396752237e+1467 +0),(2.164594785223121084881111048429808687010789601757889981086642784675094208599698993596387983205179153617527525046549690210491748626233513654703316847166896297848241927022391629319244405565513955582005003053523687351912248257981303478561780505268398878824566896722368754706650056918865096326610214088169619576230e+1438 8.891592254518501622000428780464792763980449511964614806194176159227513616006824518441379129471891840472784532161582204981296764072195233607478665288390795483005292683120316439677646327278045376124287557108279014126451145201814626186015895541290032703230052163081702774084948002346972008337839348164706718341267e+1158),
11,0.78,1.2044688e+1454,1.2044688e+1454,(2.408937660649560420618604615345749741918850267413489751253558819627762154314174225653320927357376481491288908871543649874015976707526569318628766193992534541219313642695185912862652066814787861357782369470259024258049998754550392125173869379178934703520419767763095947984608545094591031716017612037783150588388e+1454 +0),(2.125813586768875590753636325160142858957546718794336417246840584477071858502811968616175752059208372219369184703001387096192402235800799098127543376096470926990676196539769413887160639802692279831851300867575180395757006601010857743352367261209048611897004165332186398800147512824347595496775523770034654187198e+1427 1.100141757389453542270532623601913533721561570986733702781534045846879062866947697597574975748769449780477524718084491198637616560271234007088007637772991370264596153153479862987098654079320931670095184533190136565593125676759116724833563499341448042516722779983942001431817487620733051796022120811389666245721e+1146),
11,0.83,2.1281616e+1425,2.1281616e+1425,(4.256323145256074709210979536367529553855158391744065737208263043966704666270877562088905284515964161066608384681307086174080759957727664056133850722647119053921744271077316897579389912758060000904413272468916352454163299286789564535099830495039288946724880707914362698162804046167991761453219402385608317738251e+1425 +0),(1.722231937645892663519208926520734330763744107017888990362466388966725947051170268148062525052250448611554715968635676940913432851304182197165771185850426364106459076850451014277578578205239136747745372164413852400604525896835478930911268998403226279928993212319700947459005343927627172260325854856728855705949e+1400 1.943827315056708890965860563545044890214477767282945035147565027690325555045853444282536283250949812779424448718470570319708711811269659627526127773389751823552883807338418960462009578337500887141059592502611536763647772912818482802753102292955407509691677225843426562107926156776735184089702445876144488271613e+1117),
11,0.88,4.858371e+1379,4.858371e+1379,(9.716741973725270187440317615241800631923138349530914283005930431142094743049019992626295500054306005753539342230804400464530313333617441588798694693625817620775652902024368025520827780967680261845634016976203078153700681210131525079704222440596245038506429114363331508667209724060679574023618629951695189477789e+1379 +0),(1.144517471374016967652540222668297386057565693562700499752679295879558627676537178441892132238220362370808227481896875730916016263277366092380233302086813994907403505113288465341123178427765558862485000694834367283699087289088836866571464358630128237385293638007518075081071944370049722308474524502733928970663e+1356 4.437555095631460220464886314817374501551014099363650233984335172010458044504108514691490160532508426479623578202821191615313931556129406384097762009226346123606162748142021010655469156624368853705565527060929885434478494340716128603899181902406027439825450341751541069074533177442863035469198287685805967456502e+1071),
11,0.93,6.5562719e+1315,6.5562719e+1315,(1.311254382095224867871393027347646581783295026816562710981377284206702265803847605658953624108135462757385179450427952965716988407907132713617970302260286458102250893497698166378716338914769056422677818132003997588160076902207568073555792066815613381357695075451656701736398815261034055241082205882845379239276e+1316 +0),(3.067525469861112175565346759000070030268282867357961105650982469041322628765224132930474074486229917454861828706166161709860201966567965058264627386863177398828322955329667812965039810518577664589196552999348122502234235976396527653969565433110093167910389066562924045605964808219663930109606086072488777767233e+1293 5.988389504084886160419342889894487561123953167956341770009649058878725197368664921918573805035591571254119249586656652617927875309472747220106249516214811100426982976137587976975193740895933890275862506788675506442757417198317957746459339043601273221189353853098294861464705110989461536600559675427672613426714e+1007),
11,0.98,9.9914797e+1231,9.9914797e+1231,(1.998295934210825599610056767597774368191684006987881228443184567605783474779480640400720948485866249620311075270474052766273220803461980761304322904891353145609398201672436880324031446057307290818112577632881367711212676185995921531648796560460060830944023508599562130953276477022058464173580504984221902609202e+1232 +0),(6.692127369525686246354441743128160525802754033540623686636150494343160723400694557945518834699095965166516922871620785277136783634008333032628635779973199890751277376481927812942088887736223654178073675160054493663971851744694074439445969244058077303902410842173969044813818568902670383805104477043631475815027e+1210 9.126051025554996551398612070494058361653710531570480118054767007621543551854286714129665031562163485498183571631759303800261622458170238499809982914548332474126618921112824652328090841543660938479981124466046668738770198099002796834362598468755864246260451360978247820350021135831183959733692099178588605812513e+923),
11,1.03,1.036485e+1126,1.036485e+1126,(2.072970053041926299504577381442406324748521927895056954143913835817958759858516100678182077270831380637688587311392632954671119075777365724138222226348720705797170075394610222111356253206810258660805017588072194724367869914369231207685477631415720448798534877696413339818014604924292476179841429127393694111446e+1126 +0),(7.466032318643070361095094469973472902457708550329153279734288898384146442426290536682845667367508029412638358668929417662721118099143135721092652064012069152433119328062431030788936343253913443987996511504749138961593715736223612712664527708078677118185923393957367753489473005176634513524497701525415429484769e+1105 9.467081504111274426201046860923385613852628139797630201975107239366270565702287596070122220139500982775121644475095620720315812872487312630438420088224525524956495513122342753019878847039797739016712131344043659324076570478618577280608222269472612964608494071616089175167458740669532962524817742063746239136099e+817),
11,1.08,9.1450389e+994,9.1450389e+994,(1.829007787416741354370723654412216267859429598377641673497746905767572786858728476926999735749975218834157083120749811288640707613254605203776722654279024189200396199633005602773176819585880439483407052126620782503442008017143919983162230253667947457139851737667174615630760530631158231311144312516745933537065e+995 +0),(5.486895619411478557370847337270873664324947038474758205419921422823487930055830377856231327861658088241189423274774022055046022999753433763782921668641719262801356204065272538418318052268769888244099975140529378952825286267220715972590686152921242114984170320700883858003229367451990397063592921492064723037554e+975 8.352926164909875098610656896113914969950741208523390215272528842517383034037972993537904442555250275250190506098985827368460416813124489221648650449700735958537232059234688392113311100748852973398136783868003649229608502200829195344694560018866744978484796325783966973239247647493358960694342410703529658361425e+686),
11,1.13,9.2766734e+834,9.2766734e+834,(1.855334679034164682179329813736769483224107268404629009439918985562349529797226804808383847783982015045290615644647390487989066980037075222334358329512862563972705315768678509835106658146466769261205227075615716660339586792894977212801901473433825525819965922529650940075457412909851718886227815155176251233320e+835 +0),(3.668898744573893391864325517528816482521455147448064777418819960967318785808161848288600586149773695805121902957182459322276657448642595842506017062513991551873109775960479225688109186794088605787343125355468757968643685633649081277428065542425878369522173355841652689047490547380212035212489623466718186199859e+816 8.473158885265054115080741434583957383775117065661627284964108596639102267131560628268195548567357646834794844173081456073238934358664846958253250887811266165236962872499844817498485355856445795732303154990572990433911229965736393289256540119986816035760442185327924573132008990475440575060126915136205376789674e+526),
