L,lambda,d[0],d[1],d[2],Z[0],Z[1],Z[2],
12,0.43,5.3312079e+1463,5.3312079e+1463,5.3312079e+1463,(1.599362360790455525728201455690491134327505804244945759891940431061912940956991982840717392579672236236750885016450548947093353743680803656047641903868724453286441795543946287428362339922254597414725939004488105097665886794748124975672455952753980781607182284556006142311729633556560493845105848379455098855621e+1464 +0),(1.975832889501091407807493986265265752977437747826404193274816776433818832107039448188553787626824737823987070637638868900812807058995527208376855360893253100023349881827334958229706371370799965698968124962890063382660166504410875907134467635750445346576774568150689971639335393616403414720503248993701700808613e+1442 4.509759208475264279186739043255616329475737421262760200748057464077152131977483319476510051637019084910989018155193552593719990991519339771595276123075636846971215071215107041842601603030250396805820317023944320542400585422802531667051871819589718126050577321687766778924789945863125975073214489425052758181017e+1155),(1.975832889501091407807493986265265752977437747826404193274816776433818832107039448188553787626824737823987070637638868900812807058995527208376855360893253100023349881827334958229706371370799965698968124962890063382660166504410875907134467635750445346576774568150689971639335393616403414810698433163206986392348e+1442 9.019518416950528558373478086511232658951474842525520401496114928154304263954966638953020103274038169821978036310387105187439981983038679543190552246151273693942430142430214083685203206060500793611640634047888641084801170845605063334103743639179436252101154643375533557849579891726251950146428978850105516362034e+1155),
12,0.48,5.9091508e+1546,5.9091508e+1546,5.9091508e+1546,(1.772745236290231828766808403746730658336155041811427930895932040344915847205818549683116376825899112300117508852291365502341867017119434018142399484776804150609591174405712209947135325065954983906882116764263305616751678065853243782848556554272206708629829658101344110065105237603730305096461128427285032730779e+1547 +0),(4.566171284235702882043622122432998597785196979362812625916477716536750682209766506849181141796789599229056304740856804359948802641159005201735757162816470551625008545264557888259184680539194264251132272850571482572660517287639397646570327180912255810961633072263618970272379275524287969551434601035841805499511e+1527 +0),(4.566171284235702882043622122432998597785196979362812625916477716536750682209766506849181141796789599229056304740856804359948802641159005201735757162816470551625008545264557888259184680539194264251132272850571482572660517287639397646570327180912255810961633072263618970272379275524287969552529722151558483302367e+1527 1.642681673575016704285216935588592692882252888613664242350267013451932879507775747809073134727327999602285776807299796704408486708278660076294482566082249796531189673954445882829614492105127312722904591911127791005403162355010444060009171020956963885542499274518645237200376114037577916006218561408621130295574e+1239),
12,0.53,4.6992714e+1613,4.6992714e+1613,4.6992714e+1613,(1.409781406419587457168012228196119044671767062447580601948828782338954317636133888188947765900156157036571205250695960132600172945415332826224815112614431213436837707811885060696362533530815148970124709351243653711138207081052396515742943377073409314049215721625526966306839534955206573665910957033406645317669e+1614 +0),(2.686461178882395291862937903947445042283925870779459220069806887033683492880957870524506805278574963860715145647684009828415297494248814885737005974292139315912651130966616878326188116884890810729609532366121801414488379907121115704538283689247928741684573427657168062307328970549409905772217961077303717650688e+1596 1.107165257767205170029354203982972739149318796679039048147296942611721735257527051325703646814102623429229249093096959898591734277453573598324726316182770143880537268818632524574906231770206447127891609936749423075907784204666399752819187459443352891193129011513975951935596826520498209735529811397515692652786e+1306),(2.686461178882395291862937903947445042283925870779459220069806887033683492880957870524506805278574963860715145647684009828415297494248814885737005974292139315912651130966616878326188116884890810729609532366121801414488379907121115704538283689247928741684573427657168062307328970549409905772227187454451777693772e+1596 7.381101718448034466862361359886484927662125311193593654315312950744811568383513675504690978760684156194861660620646399323944895183023823988831508774551800959203581792124216830499374878468042980852610732911662820506051894697775998352127916396289019274620860076759839679570645510136654731570198742650104617685241e+1305),
12,0.58,2.6577323e+1664,2.6577323e+1664,2.6577323e+1664,(7.973196946850737638248644584757488331964401103849429541638989901804300142227524042413974591802879323257659895387991047695671162877525645823724991483522571675144148921450628635122061007288970683954471057050598916796704809801354581815589924535346750549839784783845801755816728462393015178496022387802638441392606e+1664 +0),(5.252917267122366245266862918637511946243867354745555383782784546713672163080864105972497657550987618924281152976283709733285039233965722017457110307658553450717533835890610533027497492412409378236338110297685617642418476791273746092376377896123648885875217685941661399395878845696335327591703394102119406547172e+1648 2.761598015185342354161779426916590224051591505902880877337091674477538553354891958621270805999995856985854598854060446467083023006026682904014050877410192183543480403762983790439224019812816158951020690731481146876847296332432525384646946159606821367234768658403149364801907041038507401791229129508225205253962e+1356),(5.252917267122366245266862918637511946243867354745555383782784546713672163080864105972497657550987618924281152976283709733285039233965722017457110307658553450717533835890610533027497492412409378236338110297685617642418476791273746092376377896123648885875217685941661399395878845696335327591703808341821684348525e+1648 4.142397022778013531242669140374885336077387258854321316005637511716307830032337937931906208999993785478781898281090669700624534509040024356021076316115288275315220605644475685658836029719224238426531036097221720315270944498648788076970419239410232050852152987604724047202860561557761102686843694262337807880944e+1356),
12,0.63,7.2656481e+1698,7.2656481e+1698,7.2656481e+1698,(2.179694422374622782989833192774084116423017205884886928707641214531512227327518039950489012850368376676862077511353972966919591930833241059584305389549842020427017578587856190239671371384826086278431862798378781264061563552109302402974044072288193372964539846791194491498096603468764860554772818018285964377943e+1699 +0),(2.791670144515453126509970303437207745970409552350086699083791353436763656758415575081570933367452740692811833778296561759079941864498223994719619205975302445937486822651922485453631235739252607969103437008713374177800041313768530243010506641190141298989350151920687478458663925564558846672623426932849389139080e+1684 1.147122935902629464846770622683972761425189510259606718006075274294588571109813428629857636086651487635095880055914919748376080423276030509146320283954390059950923730457521991478426915022732872063300647930379066732627914316810167661240715784502350385822733291490620565239181197935124724373716736922375992106394e+1391),(2.791670144515453126509970303437207745970409552350086699083791353436763656758415575081570933367452740692811833778296561759079941864498223994719619205975302445937486822651922485453631235739252607969103437008713374177800041313768530243010506641190141298989350151920687478458663925564558846672623441271886087921948e+1684 5.735614679513147324233853113419863807125947551298033590030376371472942855549067143149288180433257438175479400279574598741880402116380152545731601419771950299754618652287609957392134575113664360316503239651895333663139571584050838306203578922511751929113666457453102826195905989675623621868583684611879960531972e+1390),
12,0.68,4.4251677e+1716,4.4251677e+1716,4.4251677e+1716,(1.327550304789945317543193947092395554244556487763650475719021021181530586357077858957416755777537942985447689760152353646729137157111131922563900363723995559428429343886031300918483955662618399300542537270421423482347145362716055517470150200254404924105479681541864748647422689878240320344572328053479279325952e+1717 +0),(2.114438196304166135270005703111279976540753663560702954730313476178802546981176207923094049251841106338300064165746248538087347089290154675083697837089030675595677623945503020477932304810670079512879806710894299874130904552519983839409957889885437425313414556726295369738212622943483908696076682435111577639732e+1703 6.612713506149416224593032185192917242693842737953874561500157490741005621495893274187416840955639186088925372277641798271638660809065315086763602328007936305832260416570268183815847297021352598340072904417379998414444680134586806594165823797909552401292224701725978169822482644153467591677594207857707778773639e+1408),(2.114438196304166135270005703111279976540753663560702954730313476178802546981176207923094049251841106338300064165746248538087347089290154675083697837089030675595677623945503020477932304810670079512879806710894299874130904552519983839409957889885437425313414556726295369738212622943483908696076683261700765908409e+1703 3.306356753074708112296516092596458621346921368976937280750078745370502810747946637093708420477819593044462686138820899135819330404532657543381801164003968152916130208285134091907923648510676299170036452208689999207222340067293403297082911898954776200646112350862989084911241322076733795838797103928853889386819e+1408),
12,0.73,1.8232038e+1717,1.8232038e+1717,1.8232038e+1717,(5.469611392925274261765757810216293362462019640451056711287313894381817042198538193131179874871075840328173408189567504832491348683153913696592157882183087345402606690875309904617916122515306791874395194057800275123696611966457595535705620727579711124009153322658062734458067240507974582371998135883554201079207e+1717 +0),(7.602878491251612723787314008535566136234804311605242978603743416441501838233533286609927823727001861161618278364978191240891776127560248155706475352955842444729855007418354079307565350983303000448635518715255548546419896996420654796767066667025466917310448830123209629337518545328525884106609020211755257065797e+1704 3.967628103689649734755819311115750345616305642772324736900094494444603372897535964512450104573383511653355223366585078962983196485439189052058161396804761783499356249942160910289508378212811559004043742650427999048666808080752083956499494278745731440775334821035586901893489586492080555006556524714624667264183e+1409),(7.602878491251612723787314008535566136234804311605242978603743416441501838233533286609927823727001861161618278364978191240891776127560248155706475352955842444729855007418354079307565350983303000448635518715255548546419896996420654796767066667025466917310448830123209629337518545328525884106609020476263797311774e+1704 2.645085402459766489837212874077166897077537095181549824600062996296402248598357309674966736382255674435570148911056719308655464323626126034705440931203174522332904166628107273526338918808541039336029161766951999365777872053834722637666329519163820960516889880690391267928993057661387036671037683143083111509455e+1409),
12,0.78,9.6739087e+1699,9.6739087e+1699,9.6739087e+1699,(2.902172614211458812840761886727248699399111984371956523483239033697601569174077070147812957921940149232850322313675007614491890132468995397582136527521271921106188991105396456574862178027913473850227676329906274940479535301309914073326461031182333463244232489793157965382540515307280140122947687474131563917304e+1700 +0),(2.644858081615556189298919756806474922614748413161747136614822043408858700334046147723753496068292180631773202589264492312233508260283672340633103600189314542107148824606429454099875838096756930278608207698095829381375520424014219850809451108536577349993043299297363412492876886729941148686827968565477150241696e+1688 1.835396697444207143754832996294356418280303216415370748809720438871341713775701485807772217738642380216153408089463871597401728677241648814634112454327024095921477968732035186365483064036372595301281036688606506772204662906896268257985145255203760617316373266384992904382689916696199558997946779075801587370231e+1392),(2.644858081615556189298919756806474922614748413161747136614822043408858700334046147723753496068292180631773202589264492312233508260283672340633103600189314542107148824606429454099875838096756930278608207698095829381375520424014219850809451108536577349993043299297363412492876886729941148686827968583831117216138e+1688 +0),
12,0.83,7.3187977e+1663,7.3187977e+1663,7.3187977e+1663,(2.195639310841663728293352732214785133862521770470885313065067778508019482429694521830646100578422976507059716276925209810044057407911734901282960768918926072486727153328171269975766763426767780152221320405351422715139113755486281881876845431159829433682767204253923918486709657267017031303954850867245893580517e+1664 +0),(1.037089790653658588804191643687433732172607852233415479169029777376175504574868567985473046403425204608060549127633091547183957090421379220735282247032001878727021816924396892258224322865468288129617276784532574156676077569902237028494968555848209271909960801239698713545313013477596414539128423488940808941760e+1653 1.380799007592671177080889713458295112025795752951440438668545837238769276677445979310635402999997928492927299427030223233541511503013341452007025438705096091771740201881491895219612009906408079475510345365740573438423648166216262692323473079803410683617384329201574682400953520519253700895614564754112602626981e+1356),(1.037089790653658588804191643687433732172607852233415479169029777376175504574868567985473046403425204608060549127633091547183957090421379220735282247032001878727021816924396892258224322865468288129617276784532574156676077569902237028494968555848209271909960801239698713545313013477596414539128423490321607949353e+1653 6.903995037963355885404448567291475560128978764757202193342729186193846383387229896553177014999989642464636497135151116167707557515066707260035127193525480458858701009407459476098060049532040397377551726828702867192118240831081313461617365399017053418086921646007873412004767602596268504478072823770563013134906e+1355),
12,0.88,4.557131e+1607,4.557131e+1607,4.557131e+1607,(1.367139299457545683432719196283004495643295117610986978284635431858399176498212595247845815220980099558482841478338212845357018292921460306852512565602696388185824320916170988305590293126380296178741421737097596099126588647486224926463427254273343584029778552878742716199504213053842325213542379195307619989130e+1608 +0),(2.749984910948113313428223567857948238623086665360867898907406239751904713203139376249220313042152935207232650437954082444923892342899358784257003087929788043285273911586258760962061101061965827357044427833441978306590585465316691448517633972752438521229762915887356642881738366168748147049927700247032262269076e+1597 3.519583567832963212424450569098703826743185668560787989766746974346547874633557164909692277317373350236349897680590819990131805030357276911178354632640743712999144455015285887956321181520482531000428549247580919507051417683494567085327108572144040715513639486675186004433939700191810003075694438290645893900509e+1299),(2.749984910948113313428223567857948238623086665360867898907406239751904713203139376249220313042152935207232650437954082444923892342899358784257003087929788043285273911586258760962061101061965827357044427833441978306590585465316691448517633972752438521229762915887356642881738366168748147049927700247912158161035e+1597 7.039167135665926424848901138197407653486371337121575979533493948693095749267114329819384554634746700472699795361181639980263610060714553822356709265281487425998288910030571775912642363040965062000857098495161839014102835366989134170654217144288081431027278973350372008867879400383620006151388876581291787801018e+1299),
