L,lambda,d[0],d[1],d[2],d[3],Z[0],Z[1],Z[2],Z[3],
7,0.43,9.2848297e+448,9.2848297e+448,9.2848297e+448,9.2848297e+448,(3.713931867538789161314652168038583524903157914822716634324295772567495891560206647179925506061266482735114961643112871091099210547402518169036685638974191475933975957042689744220591334623843179534769057981176810864083032721005484906799063558689247172419648394860129697989040105266151158786938587583606063030502e+449 +0),(3.259858992449347527406068453755568778355215772601694982597287010277637411467102929338933702407410179495574409285850130154568022532101814398947422932416301725968581425713996497631306471558724188633271759689348188469095535206235139254538964394469421950650625663533934672443072269992466791782116168218226330879919e+438 7.621456421669902908646477611799722426144038434240652223777238670960380221727943408496841071932353445214421218558121637928339784373262415298560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+140),(5.450752172056697388421311854082126398896235033879203621109868095633225794016549565969989802632943098059605302610064593273478729382005398837124632639199567304380982688569247616662360177991664320663088456753797523027917572455991435349425228853535665842995693759852698413436503462876495129738181364906090816107200e+404 -2.435764617395280049363884723593478012873985361422681054077493505892415057316354850252206334244635935824796529690654214024161500718414857460190321211089043274481113719425033120200165873982476372137993648799501020253929537825942004078003032678088631882370388584695612129308544568918028788039665797542831333546208e+141),(3.259858992449347527406068453755568778355215772601694982597287010277637411467102929338933702407410179495574409285850130154568022532101814398947422932416301725968581425713996497631306471558724188633271759689348188469095535206235139254538964394469421950650625663533934672443072269992466791782116168223314696093762e+438 -1.524291284333980581729295522359944485228807686848130444755447734192076044345588681699368214386470689042884243711624327585667956874652483059712000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+141),
7,0.48,1.9278169e+471,1.9278169e+471,1.9278169e+471,1.9278169e+471,(7.711267672150440197688441652860529088548751503260832774625857281991686905696651835682714307248601749218888463158571586096880792664412011726908941840427540484434688126308816273716439095698164334073296846790417002318780618099314245706097329346056148320125057276319972886920224814533226557997136249482225768173533e+471 +0),(9.301407400412122290725768006325567933566302850499703679511578387167351669846840424431569433097319337414036737360309856319497109114942317883825456523724103618497939533437641368526817598589725350257195696908647368550780657139190516974143806926917397072421814125066904907639946097074311997084578888902157742063327e+461 1.439652414253822842499372322459514194838303077856613322592241783235788025814876118502093019553245074287974691402726686439426645137758175900482724857876852433643110400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+163),(8.860243977365764011825354169892105010253319394698593144678619138378812751043317350673313817924208365330953388242972992314753389174020248123440538588269850090503992722235925302162900173304549801965560839822522254173665133938285536471324624629859181615328458423274829448647504567322331933226399427561291083797377e+431 -5.057398363263398171455229725024119375410612794684397857693481082103412759759942178898124737693924806612161894824399994211406942661856595573405993986536351230672092761282220047504490532396859671683622540895866498544621855616479833914754883789511702608317437414314231553239348266351240024700546942066203513986093e+163),(9.301407400412122290725768006325567933566302850499703679511578387167351669846840424431569433097319337414036737360309856319497109114942317883825456523724103618497939533437641368526817598589725350257195696908647368550780657139190516974143806926917397072421814125066904907639946097074311997084578888903214243571100e+461 -2.879304828507645684998744644919028389676606155713226645184483566471576051629752237004186039106490148575949382805453372878853290275516351800965449715753704867286220800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+163),
7,0.53,1.396008e+488,1.396008e+488,1.396008e+488,1.396008e+488,(5.584032179324772261911422854121702168355375592600437210200687415436501572540055727244338736727526710028152442153242726589559622121442382265777006820521017367991302011712743052546281818529858817305943521276914451920965418458710489199846468489856918362533962860896288817910024214415291630168552494202537350582570e+488 +0),(5.543608205746108509461000523654384310332388418792850996317409381769650033148505402400945997990139910739755100360727317941418387432717328551399309348644336542982857775921919601828136857870859785017155808100423848499208205753862265508457795817170689675152258601662251785828583576465082909836348593340450135870293e+479 1.037378892220248239628101965922790287753111558060609224998914332422663202853227036599926762236775948572049471652825197295598787768852943826971718708528490921765295450850377380921344000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+180),(4.771834210425494353929805036788664738263258147200455652849198844955582488110917209117890458363294711019271555745584658407522651286599277183327919143754589611542078136034494940571592597132576421430364136368570206754993107798283695672992044641328925853455319989148724172826727077335021974903472164980682448730694e+452 -3.662261040661073879205331294192402336407064627320062727690138352845073400227709488908044266184996258092300178670710228660501757243249834157929913525335968979390433103660469034894870790068885921863358207405131203277187424753395936414800634960826185203745550365826016047567010539591132954685774255363829952861573e+180),(5.543608205746108509461000523654384310332388418792850996317409381769650033148505402400945997990139910739755100360727317941418387432717328551399309348644336542982857775921919601828136857870859785017155808100423848499208205753862265508457795817170689675152258601662251785828583576465082909836348593340526641299350e+479 -2.074757784440496479256203931845580575506223116121218449997828664845326405706454073199853524473551897144098943305650394591197575537705887653943437417056981843530590901700754761842688000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+180),
7,0.58,3.5657261e+499,3.5657261e+499,3.5657261e+499,3.5657261e+499,(1.426290442942936542357257226661205677768640139662799516018146173545737474862592505948833578433956401468184248720008714812972004933169554249188927401573787499257567903488446675850316186566173230553178447228650403015205541568182854015837227332722986212782026251432579827208285019672360491836535803769050310896083e+500 +0),(7.991823101025851571904236661530541163003277372419801045322728639145247587300804192225835719948089663395998756534915106491953889647486616459846467835289624422306230471961644882790414927912422095492691138718847682307738742022681275354682665646200664226950302192977518753057057937660381530574519228668114667110516e+491 +0),(1.690046487661340325154256794581845469008008017058415697604788443009170436179234360807796761334916155008420290595358795472524745948797978744047983495742921286875487743193000570329474681373318691527168908219570347611842679521521071742072620676789074926700034686551202658185535167697599522506070897903193902953846e+467 -9.354258214445879274415105963165858932376015922436815353527356019433026160673459310631466568553902489005495262148016665206608713489238117621476801239198888595828975252918458885939687584490905827227627719041621724930512856892223674397383548756254683048730278570637703218350547360593769239499245335232535396299978e+191),(7.991823101025851571904236661530541163003277372419801045322728639145247587300804192225835719948089663395998756534915106491953889647486616459846467835289624422306230471961644882790414927912422095492691138718847682307738742022681275354682665646200664226950302192977518753057057937660381530574519228668134208359338e+491 -2.851525386013872011650732253562682078058267817030349956611995323687046979505423366566195507073357124861651443483496504569180440450859648748907913324826383867657496671475165593801796370154127360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+191),
7,0.63,2.8668922e+505,2.8668921e+505,2.8668919e+505,2.8668921e+505,(1.146756831685486526624821738654169332792971844970866250899506136109024788551903943868744383935248849814963756550014401205362729168328648555396280224349577349494329604959588569244756663038446267300585539031225618582295672546185881197586366971435012474462142631980090309798795573672782444927836853010187101698043e+506 +0),(2.722595431876171729102544842839071463608333923218900678269318812156663294098872676625754383039914538156969672409010445678823758646640294498281986205973269266013536371781231773782951922105813013328226923296960909743950049848581181800214581190387416112085322206135243634353294200827679332579941948426273509414730e+498 8.970123249494645575466034670535228768046078703531248708313138825591406920745636436061545060074857561676793072006452492325398848578601821139604592367479450871238481689366229713058937291892202751918080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+197),(5.405041778405106934624110779944012845432208651763629916279581127948849384276122349532666894737649548982446933950208756481478618313427717316787282844813391737041345025202112785061164746222840971766188448217700456023940908220089143931728665481127084181885865669418505644173834762483822433553757161417816571644456e+475 -7.520950094606786155564294196510162469443506144040354280658378140920892275944657336761236252715258810955329931338742486064452628423314049276561343811672856090506536324126874533025389328354460383736097627777726042575459108473547280708411731919492971363139518488359799461394963039488245530285552913587262053277994e+197),(2.722595431876171729102544842839071463608333923218900678269318812156663294098872676625754383039914538156969672409010445678823758646640294498281986205973269266013536371781231773782951922105813013328226923296960909743950049848581181800214581190387416112085322206135243634353294200827679332579941948426275379561705e+498 -1.196016433265952743395471289404697169072810493804166494441751843412187589432751524808206008009981008223572409600860332310053179810480242818613945648997260116165130891915497295074524972252293700255744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+198),
7,0.68,5.6995229e+505,5.6995219e+505,5.699521e+505,5.6995219e+505,(2.279808777364474556659475525428174583332996964826752208375927455326202421280879978358282740048036605505888162757771648292180794487915515532079685907233833936657028860232275460068641153291333238669989796786096276549519120182689290260671970892886391179008252957755247726710424376255624548360848382860063680577433e+506 +0),(1.833153305088829631854317505800961523082034950991280467088718038496185501864998275212445972255729787764067177742003446353689115551856163962996587089104522969471869113000096246297317906077994062919773220546565321939690187327107297302890291624959807189332189704841185519310023354929474309317163114458207289896155e+499 5.980082166329763716977356447023485845364052469020832472208759217060937947163757624041030040049905041117862048004301661550265899052401214093069728244986300580825654459577486475372624861261468501278720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+197),(1.637120482236319652429387633117354752862779467172116361578029209493028007560774441737240441057759461697693648125874585314643980430134935005639715203197060682091960859851606776299849506952215573269690559531087199454351627501231637215865502488223831548257085264492111133543171417394915883098145797519648465970084e+478 -1.495201616670807255933166706033892784782533639943222832848961818126806087651323503120953712036737977157760643954463376409522193406167012560109640878614292437447016875016315186042235576591817715026285461874767086665326350370698419380118248433217676745699499658014286205658091838550301890155206177764322397850024e+198),(1.833153305088829631854317505800961523082034950991280467088718038496185501864998275212445972255729787764067177742003446353689115551856163962996587089104522969471869113000096246297317906077994062919773220546565321939690187327107297302890291624959807189332189704841185519310023354929474309317163114458207662047878e+499 -1.196016433265952743395471289404697169072810493804166494441751843412187589432751524808206008009981008223572409600860332310053179810480242818613945648997260116165130891915497295074524972252293700255744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+198),
7,0.73,1.9216472e+500,1.9216463e+500,1.9216454e+500,1.9216463e+500,(7.686585296827511870854882058622722607496666309638569365108514680939292042970859635390486348540376588167170089796450284143960385959272883117988607350603590102345887602167396471227034413923684298731313508757261476976438817561296042302757820748424926689130077143376554085472321224317925286948843576170075254129263e+500 +0),(1.749726125810379191782496825947335827607283928622270917839632809958270932824994974410483998423782312808454558874991224506012797219237525012152523977717049798090053471127203845043469216278243210875112649609340650117216044526982419192486699775240696539979556492806019927177803813200814223245828173405170940943454e+494 2.281220308811097609320585802850145662446614253624279965289596258949637583604338693252956405658685699889321154786797203655344352360687718999126330659861107094125997337180132475041437096123301888000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+192),(3.938999769685287069338877662371127990062390020888031579199925026936655767280028011602157096931199211269354702019046166175730241730573401822722382040207069690486068464166462294252309179994586631569173954395553420583400000880001854176158722396106028982238590587585316126614824499437174754028024955290873590334612e+474 -5.041208947040420792171958001712798679860418784868816575854485899140638035896194548895594720967625222768079084566848183359275945239639761658074156519214364131092362638000256823302514887808843199546701581850014299889641234760227638909796690634726847550804357269247819980450948807592619209390081020848803103938845e+192),(1.749726125810379191782496825947335827607283928622270917839632809958270932824994974410483998423782312808454558874991224506012797219237525012152523977717049798090053471127203845043469216278243210875112649609340650117216044526982419192486699775240696539979556492806019927177803813200814223245828173405171046255433e+494 -3.421830463216646413980878704275218493669921380436419947934394388424456375406508039879434608488028549833981732180195805483016528541031578498689495989791660641188996005770198712562155644184952832000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+192),
7,0.78,6.481622e+488,6.4816148e+488,6.4816075e+488,6.4816148e+488,(2.592645900624488538412338498213510413559048809531818621465712997408491510612890432664342789048462117592303149307580178775831042111017950016480333668088120140276518683020076222310508993736562342652130780048660518209212367688841992263643592594527911026307619312906123596508910135612293520394066370610446192172498e+489 +0),(1.443091842339138686464176226710513509178788526431837589232483716471138989234682699180249898974288618725620122650432281923944287408037232375157451754099458254209345939175408896492050949399507173862641946164089148074509435880794634308588458567480138602163278490742533568900103046915304870092250449730922183608690e+483 4.149515568880992958512407863691161151012446232242436899995657329690652811412908146399707048947103794288197886611300789182395151075411775307886874834113963687061181803401509523685376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+180),(5.131550418411977511014091008253156811014436839202170600791163638315113293433636981366029971841515272757628765084989978155808028217040656555237859846448669267252392420352961285222212370559900038596370307286706100673189855222834859752194334084582961533168645612719832516796525606078162135967983903864524259984715e+464 -1.700373210970974094685826707517416746548494590372599662229957499271324156729448742191449077369202936707038835692384430818978822076381053800704763143405388803589725940272011526605888382649147049719714734285129455116721219699790351866952145121077177291333253541048726547228926254017673397693942623028672404720708e+181),(1.443091842339138686464176226710513509178788526431837589232483716471138989234682699180249898974288618725620122650432281923944287408037232375157451754099458254209345939175408896492050949399507173862641946164089148074509435880794634308588458567480138602163278490742533568900103046915304870092250449730922219129894e+483 -1.244854670664297887553722359107348345303733869672731069998697198907195843423872443919912114684131138286459365983390236754718545322623532592366062450234189106118354541020452857105612800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+181),
7,0.83,1.0830227e+471,1.0830201e+471,1.0830175e+471,1.0830201e+471,(4.332080263855258412474173398520655687780775720403703341437572089058116319320026831968565394509820884182249314033592088739219609103354040583110683186278198723829062030342487013549556031315169326305708941087186448693287933780005841477487496114464625088172112368894332927713372298571974267448741431991608471756973e+471 +0),(5.219340794639631223520795020514967133034104187659642642133586666020676721662897046945649564943870005928172392911919201092257473221377781551330675600442753882959573610894578433648341502850349852205454685444692970364861030812007095590384678190890316170767289954260508007704509784756723996874094114292771705915302e+465 7.198262071269114212496861612297570974191515389283066612961208916178940129074380592510465097766225371439873457013633432197133225688790879502413624289384262168215552000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+162),(1.994346499951313843387647357455377242826012504913161752538746141354891730977986402125005248172579516820286704614984304560867993923853316297675775295779644985169771842502213558180993060923218372929057321490872149894676502251139761037132813311907216564743804089107176698897447163482097425128997933227885729455243e+448 -2.841169546888320628696098985175808203227269539346048428364781583527509715174204481031751881707246304155298797200213828581841579275635038753599041807116719173546483984331434618918436481521232165125671820732330933610398464608070143684501258432133047583158851528042301381576030087217539946251119415171702561255117e+163),(5.219340794639631223520795020514967133034104187659642642133586666020676721662897046945649564943870005928172392911919201092257473221377781551330675600442753882959573610894578433648341502850349852205454685444692970364861030812007095590384678190890316170767289954260508007704509784756723996874094114292771765268068e+465 -2.159478621380734263749058483689271292257454616784919983888362674853682038722314177753139529329867611431962037104090029659139967706637263850724087286815278650464665600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+163),
7,0.88,3.5929317e+446,3.5929148e+446,3.5928978e+446,3.5929148e+446,(1.437165900982326227326679172509396861702530789602690772928728752273711429062044935172387244586193984948098676873419832529825002489969398782278499878005138556457526028728009660498090422387575087312206906805388679308083178822703096491654373563812909798158015973741878969794515803130469119697071919581842786939595e+447 +0),(3.381014120378466596777993671263709066288824548805836830728100380898814698752382908266817907904916632797449012345515144285380654323522494376774312806284651592303853634722522650500360936022388708323676897197213772332474074359556439109011540592593754803531967749788533991828460549981464486743625318982010138345220e+441 2.977131414714805823690030317109266572712515013375254774912983855843898524112477893944078543723575564536883288499266264815757728270805630976000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+138),(1.004891761651247285806568457516745625487698510950144467436823141083227821351675384835799873029888454113580703160852271422692266430625930777416761414102852564893755631081268264352048775450304295077166294079250220656797943347697900093496944213215687707424723305241010874700336443713496792595980155922001651561408e+425 -9.425553582056652346568010153328451906170961170099679515557971417241121888124466148458100341755170833004580798286196091031109268306949292797310635972776931905056009814066784448060691532187909207830014007755340872418954756044548104386749519875525369671885673923242911869482990069139059464777413515082650360088163e+138),(3.381014120378466596777993671263709066288824548805836830728100380898814698752382908266817907904916632797449012345515144285380654323522494376774312806284651592303853634722522650500360936022388708323676897197213772332474074359556439109011540592593754803531967749788533991828460549981464486743625318982010158035463e+441 -5.954262829429611647380060634218533145425030026750509549825967711687797048224955787888157087447151129073766576998532529631515456541611261952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+138),
