L,lambda,d[0],Z[0],
11,0.43,2.1581391e+1252,(2.158139097798331165686821164631450232991909512475317503806079791420559458306693597111462345360531665958449314756339449628118730189083429568862218387685210015766853484952482803646610405482798660107105843704873977426952704036034062386727830490497000587601451032241013571085678718490364708178101806935357857442466e+1252 +0),
11,0.48,1.2391618e+1327,(1.239161766480367289702873820445830206466889119746520228515671897608332295772684130625568257835116894935114976426286724630689064202745249076340307887191358989614411510137914734807099202575527903123290871888086656018048305870484611104383508361665255593813115064211228130604110093868607988275836882626736106954352e+1327 +0),
11,0.53,6.2312494e+1387,(6.231249376886991281397506324979522926124743530869786626496531196991056717610552418772896959994800514889354159396990326317711317783984923095059695439407147763823400615360466366725229586487103844303588068149767070055338762219414625225763652122716960655138991576753958091604791376307640321499321225709032563938757e+1387 +0),
11,0.58,3.6633261e+1434,(3.663326139534129436094276211224268633553326543228259143048221664836810602608457382536192559121049907589193155932372239595501474604932978705465981281105311374501256125975945801281683091359766931978081188748547164029177889220061728455252670537087182026156193979742683693441418087401029424295531504422627650128705e+1434 +0),
11,0.63,2.2201359e+1467,(2.220135938497674497347908179789664712889454323832236075421340017703750710740779916869978280859833925816679667208784720492980756104958585072079081211279620932458816036732381791501418578048718717782234182369872408930178911373500640762179999795608146620202743396066054003058927507234067289765800502267124777897038e+1467 +0),
11,0.68,8.3037166e+1485,(8.303716558573628559365011355982638407368626028581239145873195107159644308730838845161234294868594755624189732460947627585722554391575826854191647284616035175601901605818509911391124909311081752686952073202861649746295272333364629496492351098316087059109824438990011320279969038118979239444485872336446141727859e+1485 +0),
11,0.73,7.7652157e+1489,(7.765215677374309171703332326812634567004201498768101021159799766563742394664569297112184610589552376898798822108430838997352030225921596837791948143951963494300894644099168528194231400974412133118010192619574127068753411738425533694676511329504291217019892929385806912887622565943989932125925461681885320888500e+1489 +0),
11,0.78,4.8349667e+1478,(4.834966689752959615337863707930743861891382798460729364048752443977327772342368590141716948937260528297701239789774865326065255308552907796992560204181595885458309592634065517573830807171776876989023518138644793350526538670712736893075994408614397851628408834262628375836196847514573340854230190744399756671725e+1478 +0),
11,0.83,3.3186098e+1451,(3.318609795267979316996394636180383499029003604007515377981731941894576818523855575761605869014909667451283169400457379910139351678484895732011559945960090441642489024578378289241029402546974514562242212043189989246246970046917327606353314467663549839937778227391728956915748233563486054586978261202674878809871e+1451 +0),
11,0.88,2.3680865e+1407,(2.368086487157974647644999146387117992001083971298636777253518376314298165224720105200376036935846451484752024429163623303353793376816560581089656564896189078393564849552191788521384794588895345813136815448446018200077438119950164380915232145368756943454792244002509041707135847419494344586556720627410152495666e+1407 +0),
11,0.93,8.2892515e+1344,(8.289251520686603649213593492485357228777937546372518860530546998198100685180927621832781751992672199498326711866885329361196517990669344943888440945239665023378641704621551913866887273869801331714792125712384208591502639616070269167102509946952674803809520864592169085075425086988926079223374830469695892999157e+1344 +0),
11,0.98,2.7790712e+1262,(2.779071152341421209417427233279391906951701406285039593420483147547545566941030580410741298438884556029154884166055489608476960342002906708439925459367109208250471671819053430717142929528161011853582433434027414895574926726698597468777880591598737388193931455566580805349292680343135986161195164396649676741911e+1262 +0),
11,1.03,5.4500723e+1157,(5.450072327993434501078774097456046790333507220573669720047444734071869181229824703142205307222712920722860770965566289196450846983900630798521000046495142995733865449565912924053116919379027194508317916700082596817830070278985783024943838062192691777417317793466615669223902215015715854180898038273671156832316e+1157 +0),
11,1.08,7.8413681e+1027,(7.841368133109076989812466376300063975735460721003647206686790791706251455483177802907261805084789777654385105094672380527941400561226232600764360732910526767639703661902828947488735975453053840614058341091456547989092298662236243700189660902624164235786651757074514080524303914911249373361212857689686493664688e+1027 +0),
11,1.13,1.1109765e+869,(1.110976465964262507976714030695331849007990782829290578820826463466063876067351234806958600960939073698106252678813572716565641908313909305979159015068035073961548613018242261112320329093715771589994656353069278270809256905849294861151605934289440744207895558468928106437126315534959750660241311931274520481114e+869 +0),
11,1.18,7.7955216e+675,(7.795521564017792001847005397376059289792625593290219834483751934403017578502700110681554924146600226803279923269632265078974547933970802670668710942652407462626039611032039228104059098400233918754727268339167211717332486167045506487706183523643491298089310874762628670276531419905330243941069644000058088193579e+675 +0),
