L,lambda,d[000],d[001],d[002],d[010],d[011],d[012],Z[000],Z[001],Z[002],Z[010],Z[011],Z[012],
11,0.43,2.8783594e+1239,2.8783594e+1239,2.8783594e+1239,2.8783594e+1239,2.8783594e+1239,2.8783594e+1239,(1.727015629969619992443231365749222309833378500698359576967118177876183854950229945274106792565418042091602257826390335648511015187658024025669998598420934282896629812114795186001973769141987653517414368984356189672866672796672205976732663750633681452133683015741309782665156795831551548018948608118422445065890e+1240 +0),(1.051899934607742748561347591894332979876459811626482189856109638943323836368946186838300035535575367483552532462661055453688673283339951883751468345342909099051740797939400869689938149163746391786660496168635180803403303006274042808664633583604536492029189216830113678993116386138612233263524354106271897714679e+1229 5.422921070148819934576601079896513535553901973384639887475322637307751513919311934034974584034580957474998136480890552636334572470853997578469510315102798944250600542112795707006803133049849588728167443449769956418211117897408368997247782285726069112338116267717325208512536222009288513170169128318249840507675e+1228),(1.051899934607742748561347591894332979876459811626482189856109638943323836368946186838300035535575367483552532462661055453688673283339951883751468345342909099051740797939400869689938149163746391786660496168635180803403303006274042808664633583604536492029189216830113678993116386138612233263524354107246587861271e+1229 -5.422921070148819934576601079896513535553901973384639887475322637307751513919311934034974584034580957474998136480890552636334572470853997578469510315102798944250600542112795707006803133049849588728167443449769956418211117897408368997247782285726069112338116267717325208512536222009288513170169128303629488308793e+1228),(-4.120175424970397977033242965880915649242786820879459253517014266040107037219584900921960333001445832946286002853595441034259133198838697213264860831966765717735384241037800907078191583328766360018341803160721198054211229162400840263714521390022582944246085048043629049882191122454235096009771827470281978331712e+1211 7.887136480242144501152530430290057583411280326845853194842266292477159121212340355829001032399558384425913025793026968427000508101443034678311240479704990227612313150016489677764919058078878540943262395108409310147314969640160979541199243000844927272447708364451116423630738359153913293909569258072763917215596e+931),(3.169836275114411050922363295202420396060790428686385519974489371172779734597573115389977788769960585514255457472676574943021265097159646992510870837501301257468092122694211725554628360275766028393772081817445379469026320343242967922024526416089167967079120696448600009250451477063109422308102791804808961748997e+1228 -6.148624564839178171357850613273074274917358997064399504903190057126234050925216021841037254280478105286680342174765136070129480811871187024951457569782028948221270934351738663013984194651562829190917363745282458058734861311267141633249019499213092465663499423030466943609041258648181767566284392852647701305093e+1228),(3.169836275114411050922363295202420396060790428686385519974489371172779734597573115389977788769960585514255457472676574943021265097159646992510870837501301257468092122694211725554628360275766028393772081817445379469026320343242967922024526416089167967079120696448600009250451477063109422308102791804808961748997e+1228 6.148624564839178171357850613273074274917358997064399504903190057126234050925216021841037254280478105286680342174765136070129480811871187024951457569782028948221270934351738663013984194651562829190917363745282458058734861311267141633249019499213092465663499423030466943609041258648181767566284392874578229603417e+1228),
11,0.48,2.2689093e+1310,2.2689093e+1310,2.2689093e+1310,2.2689093e+1310,2.2689093e+1310,2.2689093e+1310,(1.361345585150164292092963797324147239263285248322317241302522861947871162196559665956113848306631135574315403792934240676848367644676496955952418787598024809398436146384001830818581628256259947175267857056435521442012293041657189482817873346306094944969522648216411335965480345981132398670823926858266613835535e+1311 +0),(1.213650141186214289883575425444136441009757581828329090508977849483881718114909329760127385265354865458464176181708691926160209217650614492140964767761192049333114533522198038991693254828745119841654657598674928943482190342782805449327200248099209051490584050069340881229935502148665453462977163316826540423455e+1301 6.256801341928105830653307250576173977221514496502401188753221177451693075878626834180906407423329714073541223866300434109213852703829208553663026198368936094564128640562560317781878444565486770639410979302227350359156726432034903884706142219612273985088031840298389976712942770656728623575345012240121293054184e+1300),(1.213650141186214289883575425444136441009757581828329090508977849483881718114909329760127385265354865458464176181708691926160209217650614492140964767761192049333114533522198038991693254828745119841654657598674928943482190342782805449327200248099209051490584050069340881229935502148665453462977163316907265193357e+1301 -6.256801341928105830653307250576173977221514496502401188753221177451693075878626834180906407423329714073541223866300434109213852703829208553663026198368936094564128640562560317781878444565486770639410979302227350359156726432034903884706142219612273985088031840298389976712942770656728623575345012238910421505655e+1300),(-4.081625622246331799753715543298471072044671523211636952028258458685094788442578767040963460620721491466339766979405137917621114958562917889773574929162380878458293366242465749136388762374523374815588938277159755244705277596182094422522608695874983291042043774817259916706020141394315863467805722786250506113630e+1282 6.217151854638007262330137265663195475041892496418790942495246547888469737649492438622576444951248957785868974125054761667571742807504711992911818999662475835315983225232595357186701773457404370931739773131593131165043996149481393750638928864131136357379569150419190478532527663508725751848768764017819037305596e+1002),(3.954205757653822457924434640303926929267449192580574540222267903413953147525446424561363888602065348503104477619242019174327426942600146217698539359963853607580175099333452105062384894647056682856830931749931316485496497455919366149878848714328199868458050239725575459930060910182157235839142515867731137015296e+1300 -7.670089097917609002000817567793889442193993730273420261060325692476785530099393715983988243546137927797021747836791899779450379488055157493235924693319139322409630578340071975786178651348745212721109608529382823943323237652207078320673843123253565929868536631331610016144865695045534112393674089541089874980138e+1300),(3.954205757653822457924434640303926929267449192580574540222267903413953147525446424561363888602065348503104477619242019174327426942600146217698539359963853607580175099333452105062384894647056682856830931749931316485496497455919366149878848714328199868458050239725575459930060910182157235839142515867798407656881e+1300 7.670089097917609002000817567793889442193993730273420261060325692476785530099393715983988243546137927797021747836791899779450379488055157493235924693319139322409630578340071975786178651348745212721109608529382823943323237652207078320673843123253565929868536631331610016144865695045534112393674089543107994227686e+1300),
11,0.53,4.9968297e+1367,4.9968297e+1367,4.9968297e+1367,4.9968297e+1367,4.9968297e+1367,4.9968297e+1367,(2.998097816538361842217141854015358896144662870423463241571873323496452358777901266767796725384884830651951773397581607667281990302940174792492248450756138532781786411033104629186501924706285885455439133228170719697348833881016647391886597080387762269946843883902302286495118969373141629487023200322991642849266e+1368 +0),(2.335273885505915961545758306228994666240183871261729363186686630917001123018226708809720775725068951564752894047429740726919967670308441912701923538472813975011026646348588063719972479335379996661701498408449057167905262836288285694238582273371199903764590786580861876256499578368082242003871212624468004446935e+1359 1.203917363394531224457136112486580861395262627150557834200888301874770245414349840962224231213261075314779724012149363876802019878949787910081937694626983957776832282989058554883835583146000658167138840808969583090020641222147382026833183195578598861449730555261025890008021523557025930623030937227897361956652e+1359),(2.335273885505915961545758306228994666240183871261729363186686630917001123018226708809720775725068951564752894047429740726919967670308441912701923538472813975011026646348588063719972479335379996661701498408449057167905262836288285694238582273371199903764590786580861876256499578368082242003871212624484895033377e+1359 -1.203917363394531224457136112486580861395262627150557834200888301874770245414349840962224231213261075314779724012149363876802019878949787910081937694626983957776832282989058554883835583146000658167138840808969583090020641222147382026833183195578598861449730555261025890008021523557025930623030937227872026076990e+1359),(-1.110590963044391647814218526987332571295601850420278624377730532975794740491872650844790272431266515123526805029320298432126180482161167784831328506375138071616495822036910218836558541667798376946451288054330630421580865504968232516998857684634267448808305706913748679725394162274019038636984834623191716541515e+1340 1.369206291466510866505491528010925174958875853576815816453930029854601244575035937091913228616694133312029855498750809251442096898324559834070291671906687354989730595109042873928679120769451075121392384081561444962365739287613960305687545038255204969368661954054519273012521239764889797776967478311887975376304e+1060),(7.985268596698296709715348517804462869069707896303151264512717932596576677967664951875405096578509262561002515172957207408782769039356576212335427188799764076390794705225196142828640288091870725310914031872995817825721012584102295272161592251524691585038160685583056258164406598766177086366617854887346352397933e+1358 -1.548926013496576475863675827492505671931695042509907428947086347358574534991578627421314858836446629284632926266544015940469300922292717760528666878304600609374251579209734191587790403869833248009535123780929262936323269687642610438119178170739561811241050415958462104504902708318390000449667363819252062359365e+1359),(7.985268596698296709715348517804462869069707896303151264512717932596576677967664951875405096578509262561002515172957207408782769039356576212335427188799764076390794705225196142828640288091870725310914031872995817825721012584102295272161592251524691585038160685583056258164406598766177086366617854887346352397933e+1358 1.548926013496576475863675827492505671931695042509907428947086347358574534991578627421314858836446629284632926266544015940469300922292717760528666878304600609374251579209734191587790403869833248009535123780929262936323269687642610438119178170739561811241050415958462104504902708318390000449667363819294288825469e+1359),
11,0.58,3.0253455e+1411,3.0253454e+1411,3.0253455e+1411,3.0253455e+1411,3.0253455e+1411,3.0253454e+1411,(1.815207279683961889044983560194723140238127090487392957210261969087989360293931236581946699901394270622936221340243602533990424896939468871248391008777521961796470075891273822820632688619369340488110452551601258982400143287034721913257027540465751255454483812271040946454418381049569496109001078529974329607921e+1412 +0),(8.445539459424469309827308889866148809475611134060312271457396179275457916269735652823996380657427034744560237824913529314877254860021156575958583224411919822443098417465237317355308896671981199138000349316563321670265691822322511803865911776946031744814114024242192703760354455810204686906629944361063874726602e+1403 4.353978204244781568111333257189507907007995457232316073885081696906447471014929613196679971612644016826227351076566754869086890428623358067068955416450413098780298633384694517771788611900851792012719082520562078158148263990245759181982251301211044626407706042283728518659233864133280781204699419901408068520404e+1403),(8.445539459424469309827308889866148809475611134060312271457396179275457916269735652823996380657427034744560237824913529314877254860021156575958583224411919822443098417465237317355308896671981199138000349316563321670265691822322511803865911776946031744814114024242192703760354455810204686906629944361074233224875e+1403 -4.353978204244781568111333257189507907007995457232316073885081696906447471014929613196679971612644016826227351076566754869086890428623358067068955416450413098780298633384694517771788611900851792012719082520562078158148263990245759181982251301211044626407706042283728518659233864133280781204699419901391118250503e+1403),(-8.199888940329494906155703398103495476327051742314835757000073338362101998645055363403419706000399758730483434667807150867353267300970405905849072510327241580175941346496951742753569385188300303313542719740529341882023203913258372713652798681116811314421115642986374724577822598368269682887325902425103595343402e+1383 8.289900396007607866246982001123455165202274442983288234277601987556188728063124244322032551648305910847879784891123571495368824641781805802989035885751001896971982197252183800366047141189225937884187239560099700453347804612816032824218448676921153470568456819672419992332070644396137344294716636541959634006181e+1103),(2.973939582836169398029440454246386946639508142401202583217578322184448539755302138874522542497127184128772372683578297152392351207774140041835783895709307219962787252674529512590594007338198215435151022077345621019959814699828600952800222561836242515859574548354298867947293644724868547888283702214777554323499e+1403 -5.768637994627673062983690568737588740840622665524529855981356843564476495242245358795787898750708522621922130029151653501624629673343694772982803545486157627699954506046475687919199456229885847354854005903834239374249455442769623242319373445723887979364487016668053274358052238164795269721867247488250797086066e+1403),(2.973939582836169398029440454246386946639508142401202583217578322184448539755302138874522542497127184128772372683578297152392351207774140041835783895709307219962787252674529512590594007338198215435151022077345621019959814699828600952800222561836242515859574548354298867947293644724868547888283702214778496005160e+1403 5.768637994627673062983690568737588740840622665524529855981356843564476495242245358795787898750708522621922130029151653501624629673343694772982803545486157627699954506046475687919199456229885847354854005903834239374249455442769623242319373445723887979364487016668053274358052238164795269721867247488275280809257e+1403),
11,0.63,3.6173503e+1441,3.61735e+1441,3.61735e+1441,3.6173502e+1441,3.6173502e+1441,3.6173499e+1441,(2.170410071489641739414847156604468900417217193787655815171064964408596801360459901257951158114452467560678358312037691309206588388198785263532087446982447507180546452580701580898301422083378209622707044554058504916801248639344387741707316302514844466742406392092046456702409277506313952398540076250191871250532e+1442 +0),(4.519568445131052898806743896044495963036594016884965767528610291771936403594671932216100176001958621498090132518981648865807549232793779968509153514277240583310282464092069783473021534618135087898199701021232636531951909107826921047967909887135150806010249621196833300557221891367513280777439452884300436059533e+1434 2.329999474543224442153860498753629207967106432726755046324925694480871336931171489894145527007996040974904397826682772919917826998108835977820713656008876170132632204237732281897912328348837186027527283415589467642088702966444686248073135895786681055687790271798470940536879405671420693859061132743714874141252e+1434),(4.519568445131052898806743896044495963036594016884965767528610291771936403594671932216100176001958621498090132518981648865807549232793779968509153514277240583310282464092069783473021534618135087898199701021232636531951909107826921047967909887135150806010249621196833300557221891367513280777439452884301749155189e+1434 -2.329999474543224442153860498753629207967106432726755046324925694480871336931171489894145527007996040974904397826682772919917826998108835977820713656008876170132632204237732281897912328348837186027527283415589467642088702966444686248073135895786681055687790271798470940536879405671420693859061132743712725439270e+1434),(-1.184496525091102723772832294551400597218298892205807514951139221616131457004056189133954078631961587879715195767952995446692995260935329350228331647670464740228029293653356576293734622341366326449144485375073588675831086721319245561591741940360621675965546411304904497374075299369381545330600603005485200853405e+1414 9.912081949271092175146641739096961967000314823285005598728797497323007571083423476841583973011623030114307213607082850138483199275202955217046118568601933569151221573334765001624854166298858085253032339865994353588940776046554325927276121327025205278330591063866281002983120727161968713562228026861097207115951e+1133),(1.618418675887962762328935179249146943142789944713491866630491749820475105849867053039986085477656095706009311836358503935525876163975223173072730142859083122715133220998262317511717209706995597053108740778832031471147558043222459055217600825432040077286950820473508102941238111801762247291483515877190851723466e+1434 -3.139294260994616834505307875751706459649619992958620578053041295284405816416230371514911042480965309506172338628594992594043195607847041605054528461725673753889571727044822823601113467414014152517291278738882089251872360870197877001313871228698535496944364112639837173547457229908557702631078435431020101058585e+1434),(1.618418675887962762328935179249146943142789944713491866630491749820475105849867053039986085477656095706009311836358503935525876163975223173072730142859083122715133220998262317511717209706995597053108740778832031471147558043222459055217600825432040077286950820473508102941238111801762247291483515877190971095798e+1434 3.139294260994616834505307875751706459649619992958620578053041295284405816416230371514911042480965309506172338628594992594043195607847041605054528461725673753889571727044822823601113467414014152517291278738882089251872360870197877001313871228698535496944364112639837173547457229908557702631078435431023204739225e+1434),
11,0.68,4.433599e+1457,4.4335976e+1457,4.4335978e+1457,4.4335985e+1457,4.4335986e+1457,4.4335972e+1457,(2.660158875059158269363365040952076401165553766370880586015881436966118468323837550281200697227073082022945131558318509854640828151259133722487938784982224722129362367108106666874440553014494301241459662390548435023995755646689686865323281033001275303545593178145786095797408308342165453856893483427407579080862e+1458 +0),(1.980694735654265734715026507832917591346372366681345079468843801739057386298297822913700376199005190631817622801069564084312107644908611762223088905381954802786704517571503780343764053541969970440023197936125405008491631268951752409753786739602701712814698512872723108274647810718789543239966492532859317740126e+1451 1.021119106687441566477707564920557312412649618681293695040893474639420707586328475926565466601389278353470274924074933910308302835250264244720191949927947733749637521585390526746577705699986190265315464928915060317184884570734688817079046263076082111865558338154208391162647935294792423661927969388855992930882e+1451),(1.980694735654265734715026507832917591346372366681345079468843801739057386298297822913700376199005190631817622801069564084312107644908611762223088905381954802786704517571503780343764053541969970440023197936125405008491631268951752409753786739602701712814698512872723108274647810718789543239966492532859489773787e+1451 -1.021119106687441566477707564920557312412649618681293695040893474639420707586328475926565466601389278353470274924074933910308302835250264244720191949927947733749637521585390526746577705699986190265315464928915060317184884570734688817079046263076082111865558338154208391162647935294792423661927969388855713376182e+1451),(-1.743902318758645884600899592575485996936523551404981318465367318057595031280353162141029335884678374407838437658496252813549349495639100653652228650813792220277873164596241195795381308982067616270721030399235847658008187440902705895909498694536625890601932343383064324175077203670907807783490117761087130447714e+1430 1.214872392734978925054379601138453083756868215918477990480495828889233375306285439804268621589610996218611841074046798825823132200652516048992664930110262512931572588063412319010503389153861491029502901028232598721161275431781035374801654821508054766404864851053363749431050863761117631641207338982989941634786e+1150),(7.150906551047757621766711622756974451051531376572341246609230731479949371590398116892503998167215040696982287327101150539120465411977110506989923796637134163098679795886431280602215125720410110293611013455493850144711140169980046072391530102408346209341357862790557565771300950790926165322763698178026905780966e+1450 -1.387082355824660743173350885785942949426873850553257788753259458652386337329297026382466064710797444783287853459498199164264596501314396928731551218238050807669622432816983719764036086667119262757604609197717743185665602077114436090316379578583308642334663452434014768275169954724521726497941604947768034098425e+1451),(7.150906551047757621766711622756974451051531376572341246609230731479949371590398116892503998167215040696982287327101150539120465411977110506989923796637134163098679795886431280602215125720410110293611013455493850144711140169980046072391530102408346209341357862790557565771300950790926165322763698178026905780966e+1450 1.387082355824660743173350885785942949426873850553257788753259458652386337329297026382466064710797444783287853459498199164264596501314396928731551218238050807669622432816983719764036086667119262757604609197717743185665602077114436090316379578583308642334663452434014768275169954724521726497941604947768442678370e+1451),
11,0.73,2.0378273e+1459,2.0378253e+1459,2.0378256e+1459,2.0378266e+1459,2.0378267e+1459,2.0378248e+1459,(1.222695625811684656189456593868093044070513599023896606644893499540692844925764261067871046841384368917938938615138570225140729780531721187618573182973425083182117560714166178481300190721937541559640776924942377758258331522600770798208908388655853525847364166912027461902977650019949022031384357182344510781369e+1460 +0),(2.723589461296361801111928379949733942952702161055785319113068309633821620773295070282129417127337088952298959706994312128460261513817690879932203574969773317240450569945864498107951411711649454129934871686279216152650024057098933477166974985408430553155561776124788984901731973581828354256966658928282623506444e+1453 1.404107956486091959697828476398255925162222258332596893670313628958725017941939212472269353633491070319523360556494064775581516764263770305221697258261122498662904255955609506545970049692134970684268429470343816764645706439757428446740675207907596663733708918863167397322000314977432226212633071392055991521607e+1453),(2.723589461296361801111928379949733942952702161055785319113068309633821620773295070282129417127337088952298959706994312128460261513817690879932203574969773317240450569945864498107951411711649454129934871686279216152650024057098933477166974985408430553155561776124788984901731973581828354256966658928282699201255e+1453 -1.404107956486091959697828476398255925162222258332596893670313628958725017941939212472269353633491070319523360556494064775581516764263770305221697258261122498662904255955609506545970049692134970684268429470343816764645706439757428446740675207907596663733708918863167397322000314977432226212633071392055908945450e+1453),(-9.609446792208749880959034980201945696229643217291189746936437764283580608632121413471686157134916910408239188590175099836535761443116018593559559557064170980693586569217345640007088585209400976597860064087024532802296027346689285492952196559768749174430459132828401731541188585349888602439486402072021933270516e+1431 5.583949043206677346973925260376786814101338051396264699305118912241405875560867087379758762294887522081858969350421217216271142907753081231837384577191712657066368600412128230428894801012814253396272758673866137132202256509596693645572817560876843466510289766822286082154174000205631714328387309377601591497116e+1151),(9.854003994961552895002342314064796853713863532360726847495383788881515546846587970355438282605483233703299248725784109688339041605580392259447773055718463517885751492546729346272077637577409809337523622387365683630365353414242793655322846019542230001422704504577909110539663774635795658507958051267998775857278e+1452 -1.911410109762124449780768372624408347733002190783204462918813219348467197733289270283890950235052326486961379817265039311494776330213998754668021473075530371735169282891643349346540700351014085957934928335756262800082287030736603956042508821905592359344390764634398407209436154752755978137961300285721825844824e+1453),(9.854003994961552895002342314064796853713863532360726847495383788881515546846587970355438282605483233703299248725784109688339041605580392259447773055718463517885751492546729346272077637577409809337523622387365683630365353414242793655322846019542230001422704504577909110539663774635795658507958051267998844670742e+1452 1.911410109762124449780768372624408347733002190783204462918813219348467197733289270283890950235052326486961379817265039311494776330213998754668021473075530371735169282891643349346540700351014085957934928335756262800082287030736603956042508821905592359344390764634398407209436154752755978137961300285721963471753e+1453),
11,0.78,8.6845747e+1445,8.6845527e+1445,8.6845559e+1445,8.6845675e+1445,8.6845684e+1445,8.6845473e+1445,(5.210736643694903395297849357576011161718757497964150424182687723892223785634088196615206686531136911224155440553904663946991474516139153361634205500689843950552729027360759287726752991894148413814109037062572442643732667708099121365914700824297104064272383549086506200251170646173340135531369622687566760615591e+1446 +0),(3.005836958314067956192128523230606995440925555199178191706646358973547036340750569892963399208319893168892924554399321471248938695273253593723482743700013243544782673391294120739140249474371263455728136668459412128106886831012696037513683059090834430253880205559272802015077273032054164511964373718172292906802e+1440 1.549616654435089678663161004696454122182129073073132249960420687945710726761903977635506456042238164748094515176165520592451990508668802326198320839541036516678870563536159758184456236974985428471422335789298660160888922713885345958605552572504240351256433726147183685324409018366467885955982667928126000685911e+1440),(3.005836958314067956192128523230606995440925555199178191706646358973547036340750569892963399208319893168892924554399321471248938695273253593723482743700013243544782673391294120739140249474371263455728136668459412128106886831012696037513683059090834430253880205559272802015077273032054164511964373718172324199543e+1440 -1.549616654435089678663161004696454122182129073073132249960420687945710726761903977635506456042238164748094515176165520592451990508668802326198320839541036516678870563536159758184456236974985428471422335789298660160888922713885345958605552572504240351256433726147183685324409018366467885955982667928125961569985e+1440),(-4.920302166671162388312047777314227504918866590156465400307175480936854203576332205562939344444818856318570628887974093156539867490151235830733712437952269220611267919125176212055035584826349784489393945540037312072920316213792450620704415392617653494039350137273873579131578587953329338807787196107312188803780e+1418 2.379700007239861449683702912558490030627816120600716233700257727295463080186319511698750623891205700004573657871278719690150851059107507422846420176431772748878111323453308783459205832213299623100611168208806155086693986882461946939797159788500761608680960957165328684326525580339045352793673582260691757877270e+1138),(1.085148876800948639915391975055334685357971269512249743909018762772114727307550519966222532307963790931870591144217025818379440315227130678149036715798902620583670596886300888380158581418870016108063612964808040875487911478811740773410781193770064784413117953147808798855183175082385096013192020382314721904199e+1440 -2.104895162184719624960986354239188276732527919446476659156778279869029932079431294122072119708395106900399897485866761415040650564928828186246380633046168799371380547962160244792746947998748356384015869783376410361186673245100799431033238484578224886156738523129858343738289509031082194391590013667845821626309e+1440),(1.085148876800948639915391975055334685357971269512249743909018762772114727307550519966222532307963790931870591144217025818379440315227130678149036715798902620583670596886300888380158581418870016108063612964808040875487911478811740773410781193770064784413117953147808798855183175082385096013192020382314721904199e+1440 2.104895162184719624960986354239188276732527919446476659156778279869029932079431294122072119708395106900399897485866761415040650564928828186246380633046168799371380547962160244792746947998748356384015869783376410361186673245100799431033238484578224886156738523129858343738289509031082194391590013667845884211790e+1440),
11,0.83,5.3807882e+1416,5.3807568e+1416,5.3807613e+1416,5.3807779e+1416,5.3807792e+1416,5.3807492e+1416,(3.228461261773341345330492953394798284780022529273054059852703959079270100277526983528960524896615745297410622090224725724451191004669294500480097802299414135762456883086647977521484016673897652838846579815719591526742724137945774403023256246327374905465283410000529680234743035971946600270107736603152256286981e+1417 +0),(4.282492819392851239303781752751525689433176880758782874054942823245738480123767016636327275817512026875886481003373264519094632740545917161873596234514118693860348911289086376174971510734218116831327000772110741354595411034818050093988449429379051849668209370059677391059647497778923276819854602687672078752031e+1411 2.207778494796340967689482199990438095790057656107481295278340037646794330688027315950672377160375275018730481280887450496050780901662628999825480784028657349239221378494993177380346137424429779209911067901131569627557444240081696690964587511862973948938839178757880761241887069115284835425078898238019523750662e+1411),(4.282492819392851239303781752751525689433176880758782874054942823245738480123767016636327275817512026875886481003373264519094632740545917161873596234514118693860348911289086376174971510734218116831327000772110741354595411034818050093988449429379051849668209370059677391059647497778923276819854602687672098500527e+1411 -2.207778494796340967689482199990438095790057656107481295278340037646794330688027315950672377160375275018730481280887450496050780901662628999825480784028657349239221378494993177380346137424429779209911067901131569627557444240081696690964587511862973948938839178757880761241887069115284835425078898238019499065042e+1411),(-3.688518632252405290125021752014258501187358839635607666525411402826921930614027583087346986750321250972896293732708297616445247357180263573190487037175451003340561987333786183024711121534667843616589366301971315841786520401209401561644374736543147040858073936295824693074578626385373876702019838682227012117440e+1389 1.474411357425238267228329932099748435916962929992757958869826938139642277044494441319894429754674662451497044126548776985597918233127815338936291004587616605894262721504803668300152354889870655443463979412224111586827393382173037862711244674022110665327373644027868852894275313665689634463243180194583337445961e+1109),(1.537843870299824065772318692412789716488757574228010480642545172362360464420560744123699595602354250853253394557674642971474118407635037669852792537626310232280326320533640723944012654929628062545372725592000592978755488068898273911823398785630251023409489688009495613227544615797496078158651872724384153178834e+1411 -2.983000942997147332988629503845315538544346010097454785825944600082349319516733963109347943021606346163619724741698341570315212314713986433391102146274832331659579313235776176673408223872801420589464436130551573186150953765525671617055271806757264452252732235404824186294113364280381725569339986806025545903429e+1411),(1.537843870299824065772318692412789716488757574228010480642545172362360464420560744123699595602354250853253394557674642971474118407635037669852792537626310232280326320533640723944012654929628062545372725592000592978755488068898273911823398785630251023409489688009495613227544615797496078158651872724384153178834e+1411 2.983000942997147332988629503845315538544346010097454785825944600082349319516733963109347943021606346163619724741698341570315212314713986433391102146274832331659579313235776176673408223872801420589464436130551573186150953765525671617055271806757264452252732235404824186294113364280381725569339986806025590337545e+1411),
11,0.88,4.3948655e+1370,4.3948124e+1370,4.3948198e+1370,4.3948482e+1370,4.3948501e+1370,4.3947994e+1370,(2.636899543634308346791244954795628145763050184076913873305967018818413674155828106573069613888767697832263040284255032209205203592103059091558501808732304266970460224783516791040440879056138859272614502031803553248215257943506662728834909691472309840712271358235730370299071044391703292691245420690961415835569e+1371 +0),(7.281090123706349112749435836138716278937228317650628123057084612847748919985067604384216669814872007463662897065000037811299678017077794057583213009371555313368010660259879130613974082466529712153579752584978331687362629124273224758340789190706164030441631821144264731973139771683065484514070344482908385606366e+1365 3.753662848189419393334019256270557510039579424308726903446893582458290289149935449957675115073086047735808045995548992044129750788046673815043342747276019833627038009739580973461908672430705437301208022170635053892074380905104209447469533621543889753398995563606585819223833473858923000109845750042766034118046e+1365),(7.281090123706349112749435836138716278937228317650628123057084612847748919985067604384216669814872007463662897065000037811299678017077794057583213009371555313368010660259879130613974082466529712153579752584978331687362629124273224758340789190706164030441631821144264731973139771683065484514070344482908402902327e+1365 -3.753662848189419393334019256270557510039579424308726903446893582458290289149935449957675115073086047735808045995548992044129750788046673815043342747276019833627038009739580973461908672430705437301208022170635053892074380905104209447469533621543889753398995563606585819223833473858923000109845750042766010336100e+1365),(-3.691757562810607113030314925539285850258568409874082076052918289619307072489602224674179465414210519817962869164786913920130062887432882162050637515990591635846098156734581835972478418273270741158875730683836635619940159974069307523194477211270420508339378002755264330230858232310017560998574330740692495743115e+1343 1.204250049879274521811021329325708897987302531214065099148652441118393396117927950910265226514697851507498750319015767008526811178276187289662188024707144209243367827177246209954103689973388651991052409683368900986054092961728738770937830163397437279758213181044091803149784195182324359789346066513293817172440e+1063),(2.594807843767581281089704112528582870764372568628795816326472141441526034455276019411962448984654172938514767463118340199087793443142063520907853187599390897131349050480799783346426757290172948572604485081712897668754805827338131506655847071267315972624733153201424291851284459051345881680947165392834224868658e+1365 -5.033225020005448402467748975784943186357519547295609146559547862725396201184440646112810655771877640991819073852261955329878604659311003009246576088205480907678515982043571557703545361968000644008759842482092084123368524658321468173063923919588213917093353650744064321211742330380690125832400136579882836141282e+1365),(2.594807843767581281089704112528582870764372568628795816326472141441526034455276019411962448984654172938514767463118340199087793443142063520907853187599390897131349050480799783346426757290172948572604485081712897668754805827338131506655847071267315972624733153201424291851284459051345881680947165392834224868658e+1365 5.033225020005448402467748975784943186357519547295609146559547862725396201184440646112810655771877640991819073852261955329878604659311003009246576088205480907678515982043571557703545361968000644008759842482092084123368524658321468173063923919588213917093353650744064321211742330380690125832400136579882872895198e+1365),
