L,lambda,d[000],d[100],Z[000],Z[100],
11,0.43,4.1029055e+1249,4.1029055e+1249,(8.205810936949562979945439754385320292196096279374041476679934525684558701992419004485638160569111931357137707115907541983731456166788144692649513396737933988496318653318602989922403133022337803260174928506583987410142448730706090809229352625605784643980728661250296216015150159517270177725886696020814353402305e+1249 +0),(1.331241148252835065416010973636200710571346564829312148954457325736246191452685960617758253020854158424716572727675017506331834322430888383207882864135816839085829646723816215004120712489734510776787152840342019162049892756335373965438732645234257152169397140870506507610548474651932984850863292838510628030361e+1224 3.747525480815907185468177737672164647518761155879347355886394968339381298851139688241653957869517332546415102645438075393334959435476104176321870193164937515298500989858971688245738765653354231666164455108976236804923629279602412899329814726437163954522015729536725720280670943319538018423521925909327596029156e+941),
11,0.48,4.8008357e+1321,4.8008357e+1321,(9.601671346498931045657254860104457281785305128407635326378082093420900856130882687335940460484275864721433327784909765839759014038917627088180097018874122813525896681428154772436267592168750543631507604873022737051137089738381227591371821801419357668374527706841167456889621314733388031626533051432205492303441e+1321 +0),(8.843447410954592659525705557213113707164429442499918831415074481644541537833833411626929216290848831676615425958754324081384762885187143048431048783551808280908260640571130291516003291662740118815925362571208737554147800284458284924889891267176423956236979577141055018726415191719964192149116042472948997558404e+1298 4.385003298991543903006476939127128299984348793151072532743773240392532567048765633854018765266435220347037662356946961720207831031208475502517909096858848559844182684417820480613109809150523930133874561159862264134147369649799799821655867863432660170820985144544879453585792005129178299847666985163598039722234e+1013),
11,0.53,1.5653828e+1380,1.5653828e+1380,(3.130765576685060005509275045796640344662920820764479988559103548175986455321713392975791688868887400490072072172150079540928730346832639215094310694362705512494530408709830342782018921690029574830352567133373160837112356552116429097590752566666448150708418399163344169360333338448896459178509230748499461310894e+1380 +0),(4.690089041407969389039182371260648886344647645803223907858513133276238296589663822090062269615591892990551900509648342535520925628897246790319918086272956160395261772540130426309345266053979637508432051695652763265897911569119722740283818322147717894689858716516246594419736670220383529397429429723061911436678e+1359 1.429794552084826447237525432799625370441405569324355660177304771954540243950258143812397385286630900193714061338163038326562652544404065582600210099411448944685978436384277693386341860808569837302664378414560491062056260513674742707564709449360650067379432587227292266903526592253252078769268740176099946774286e+1072),
11,0.58,1.396902e+1425,1.396902e+1425,(2.793803923531939654734117514091686933526610791543104661795372676630251353436387175672728248640410440606994501953149014082160364864510061011024613593273974329545211096694341722845625282827735789940465375771120080467888116653388948280701467626200851529906507532854527670309996516646178357114824582465358512011958e+1425 +0),(2.736716233494105527833408050437189046204287377696998487557954932105966164527579360002653859166947612760910240132080148631590968208340935723719075086863745731383621084211527143036217472764706664945542364613679694755404182096074272179913505809845582468665312435314565191028871705150314702789089903383302544692324e+1406 1.275906972788660666955616049273442408201305518501278402831219555063223138350640017306561098369150688808093518227181347151383366099118583625867821961314364615811567750025842292827838707013532063009214969614700614653098895519061206782583589487496739194004249455527979038605081651873943706996729132550932402273636e+1117),
11,0.63,2.4460596e+1456,2.4460596e+1456,(4.892119221685307396440488912828257419533632892283272131302006914528785851355560643572170521328558527059705375177128386724852864546176090958360091940622186271432539116502050011831621427592734785919161122443814007666633480399320715392558944398713550703100663873624399522028109128995096863909613372751872053415174e+1456 +0),(1.578191670385795069551855959348867312614278071685241702479979790184367380338150037587305210248919797614223737528096525766551507161813918054825138224523901582641097953609945936313995811413837617945704903584415215751779239571097401745770073070458068319594654540090777180699913536598792464521386717690141806759394e+1439 2.234190085455494216188021426761367909978040407764216002211865425535761372492886322208544910879044758234522339625187410349884366603736490500059811602910286174586022454138826742304445836099868732348819246611235254278104708696910677867670576636369599497857554993041148689471739034733393471152691851166058700536243e+1148),
11,0.68,4.3538507e+1473,4.3538507e+1473,(8.707701485047597756089404003203161331263252248491702535027472672361280364494754565878547039342827742083911737346261541711337954844154760046416659395091954340048234230456559996387289415151579149681407945478121073935656347246504437224099707779588491886401545574817255360127372985744776680390302683490793457347168e+1473 +0),(5.446134907981758388788343885290340165253336305538007683305070703367111161685858196374575611574289372090995403179251861749732707040270829411904701029301880293129217762283016759887636929075185289494487059253990313610756810814338155456273920315109383818366986391041634312963529638021732343718687681371271314166932e+1457 3.976734712180093751747510380122552746097245382758124771633079101222497389090681358313230292779615709778060748814496852615728496962193879848999483899850804705687137225793889200934584531004451084247324977234883574266017491415720716243008450826241359109914852835681187799046341972203436599485086975735756535834971e+1165),
11,0.73,2.8753888e+1476,2.8753888e+1476,(5.750777612272236173796352478430254376357876030358937997871555523949046362272263742411951528687572193703709022013818374406200734371553395981760319294930117625336051770413647285881286513614598577880034464386256635141020751815687341547335831275984727523362760349227248427757578033851633416760946656710321909968281e+1476 +0),(4.589632529261119435015930586192329713008978035487613405496348340594912658424254141683595924823852244785923244027140505057916150971720526704648605678103935423860679172830223826662184098590777707062517682402824281993694455144875045267585627781974201778425752031610663498871372476319061561030814900179810416996997e+1461 2.626332217752424888062450014571008203593932757479252237833004570842201066196205122397052932376053656929220915224848507020437732733863164132950406519251118730716461164162014055262726340112737297536474168654579734920062094813278032716592630379583915275292595424901608136538238364291505135331267083158331819831562e+1168),
11,0.78,1.7372486e+1464,1.7372486e+1464,(3.474497217411481485970148121732999702280354293059598214310088248225372008328311587946887823156750285737994922322875341722467912061987881097361056237736419436025126289279518651387698277806176580371511439860277536048343007405357490885890052128768036900980443814190345986691047125365815405383249735114580417959580e+1464 +0),(2.527590255694050324564885957594154794463194202543374140564139998545494813483238567159923608393418634002282062188396845720848359151278823840900708719904222806504526485504304286336224047536776961261903802809751917200895824078217840236933352006168139629989961780482537929952272342445360570641098234845104816326188e+1450 1.586773928295471181064967689756338813019243297940929155666849708047552297528384584880315247473302322824046120579380500720316657444209065616855524385654466232764675785568279702337553769733770999501811134204513560677914887564018002174143995260218616481209026381304564829899533263058346885897400285823899895104394e+1156),
11,0.83,1.5002182e+1436,1.5002182e+1436,(3.000436408204018141134796333081376628554052183633240216832298623106635732584228595850628202564386287337994340799641369024016131078371828340969483457794538425269208648386614171229153529449038813594089572597852337813641661055696245855636572870083855380936681916569525632516951412011489450240290705818390607929024e+1436 +0),(1.511090154413808612617447975929337845807062674756547408119082846001796338430034151579482913673423436342219037815402672101629167078236549696918491294989552280716503443035304377167821232624165193904388667850853386008138546624253570099829851417116078486247397713814628009755530198831666706179711163638071051095396e+1423 1.370274306794068769450268890357059744781780816633483017640352812783258064587887981856253502702547060362584212759644060951920848024687835317259956373359945796868526507369767278243369636483265801926462585999660599343493072733511857232291646632592981912749207655449363024048510892216953999729997958381511694555561e+1128),
11,0.88,1.6707766e+1391,1.6707766e+1391,(3.341553210098747813904358228908013537610685996443080643959405339283399994674700002948098386398241814104265790234271697074420783963208517094043504386637823136661487056187539161975067369844198166226922019075441382419402836370772574250595907035044438074063612247770418376580936442851589733747923116495925167169993e+1391 +0),(9.270903972193907720937118352988920764744355370434971294472939543595772042171651047537163509073386291570948573852090826070123234957554159744414019204793028767482538010826900296435585810017500302960812178320462975432609259965621192520312076675439143339344481077234705464687441429000568416856561126915819988569012e+1378 1.526059507897816878810011973077440019956665720704891087187759523183771593168088031659152673577795670474532400452059250553210212531642895656206564855150193746016413684813759716054676276540375805196556152528293555642244507186374693855982046335457853103171454705701616442064232217253582250374545452828669953270435e+1083),
