L,lambda,d[0],d[1],d[2],Z[0],Z[1],Z[2],
11,0.43,7.4152603e+1224,7.4152603e+1224,7.4152603e+1224,(2.224578088063363902243913923826380767190725690594887942167294131818871520729008998723575922009605727600561842128560812269092307926985598947309903574398121685305734226631360060865293617804471599599020191972637115283216000548385767056256075116126045265864076186843058141324226372279392888068291610195219280898060e+1225 +0),(3.299307061991559401709262755783459189919567321261738694418910527190351187915118028040070190530893800271095371230339457595236083107804005356765195051320246492299968473125615192677621598706000106906898234691366276443069311659137856947107440403573349276597501545896323838287461318673082794503799189122436602548209e+1203 4.328493770487575279816614488739203192805480343373786834375177437281015314904682506425184044639109378495310364481047181370847321744665538610266808921238059104257905214806229247781671472630688270330611441885711112912542879983800727745873171366290392199427790030125357130723614805741665497100957713707629972199420e+916),(3.299307061991559401709262755783459189919567321261738694418910527190351187915118028040070190530893800271095371230339457595236083107804005356765195051320246492299968473125615192677621598706000106906898234691366276443069311659137856947107440403573349276597501545896323838287461318673082794633654002237063860942707e+1203 1.731397508195030111926645795495681277122192137349514733750070974912406125961873002570073617855643751398124145792418872548338928697866215444106723568495223641703162085922491699112668589052275308132244576754284445165017151993520291098349268546516156879771116012050142852289445922296666198840383085483051988879768e+917),
11,0.48,1.0265774e+1294,1.0265774e+1294,1.0265774e+1294,(3.079732085987294332597375151771944845805904370534656927617466043013589053344839521167014776261562423520477319109031937703910750410730275360103462369097772102665638729769521260255756275671983503878482765379014780942428057628532047166448050057004088896008446563328042454689287102231322372406451741192792641356662e+1294 +0),(9.353260567922822354535518824421122382872164316928833677432639468123183176195125351554548729085957554483709948809175005618269001101085919077367938071781720323955871959639714485236328520123767757728233017304574291288966620368149781917580380548747940703723849009322088404198348023145502150637210746903163692501316e+1274 1.493708303378416787747932549447746004745059069611047356996198192490986223259866663036026738987904909599101327804740728979617467133469619883455104772601529412843743855455735345576799160031670047678513469134365919200415485332151610084405208736935490193928903037563986854607124553883497349773074447479127125070149e+986),(9.353260567922822354535518824421122382872164316928833677432639468123183176195125351554548729085957554483709948809175005618269001101085919077367938071781720323955871959639714485236328520123767757728233017304574291288966620368149781917580380548747940703723849009322088404198348023145502150638704455206542109289064e+1274 7.468541516892083938739662747238730023725295348055236784980990962454931116299333315180133694939524547995506639023703644898087335667348099417275523863007647064218719277278676727883995800158350238392567345671829596002077426660758050422026043684677450969644515187819934273035622769417486748865372237395635625350743e+985),
11,0.53,3.8719112e+1349,3.8719112e+1349,3.8719112e+1349,(1.161573363967616829567646435088924825257552349448004777713173448720124776056744649000465573809656977147980769117362002993170107628276177673555776669907240696155054195244604495177925348354730451357812591295155735497071311258086208053497534727909649064813556761756748242296272043455118595945049231480306921226499e+1350 +0),(2.565412889260546563156435592324803669818394961039524847670750126399484706478164352546128581979051144193086821538294539931264103534190855743861836844901604500414197453428079343044062007879288968283594339444566921884437101319556278701040978273676626459373543735288384776209892893991705459195318707031095568422971e+1332 3.662562102850841659228086496617557935885860105695947430659828891851317700472712854674743734925031568521047651256675591190760710844273654398956708280865799874441130299964537846292629726105292030196665753232807777910174977858009302471526865564379478226219086942437045563613940700269676219359599786319732230873035e+1041),(2.565412889260546563156435592324803669818394961039524847670750126399484706478164352546128581979051144193086821538294539931264103534190855743861836844901604500414197453428079343044062007879288968283594339444566921884437101319556278701040978273676626459373543735288384776209892893991705459195326032155301270106290e+1332 3.662562102850841659228086496617557935885860105695947430659828891851317700472712854674743734925031568521047651256675591190760710844273654398956708280865799874441130299964537846292629726105292030196665753232807777910174977858009302471526865564379478226219086942437045563613940700269676219359599786319732230873035e+1041),
11,0.58,3.9513751e+1391,3.9513751e+1391,3.9513751e+1391,(1.185412536314117136326287257384074375345288406925393856312196393526295918767389594589782494629748434640203543300396759741615330743395246775610259722518127492991968041457734189942139335057347315537927357828483113981877485569036287347207559717390775500599287143829407612237950562806438013405557023696985609267538e+1392 +0),(8.908582424570126914891042505182306240692172628894397559426721521358898253287774306548275172641794850152663517179699900414516375748277996161599696932904293854862119430525889199421765871840062174097361597792273309003464322264357020356910817177368147589296108779826227318270982326957175923419009397491039245702278e+1375 +0),(8.908582424570126914891042505182306240692172628894397559426721521358898253287774306548275172641794850152663517179699900414516375748277996161599696932904293854862119430525889199421765871840062174097361597792273309003464322264357020356910817177368147589296108779826227318270982326957175923419010035599353538445477e+1375 7.657299771512918386066263977352422880152506445910452425948326884675920538482483814139575800988420286815027125250396646191185420374669122672713515824979830036612248785334704661877451734379979413411806077296520632394072300534331679549124636386212075259344159779466065505850822523347527764888958875568887280657449e+1083),
11,0.63,7.8930897e+1419,7.8930897e+1419,7.8930897e+1419,(2.367926895068444743992672089774949802934820187764720084907675210474582100055868478331639850147482519390605570116189937271361643001642632502572841680235076533755378925009831467654805239110429564120888008579829384543469803686804611957606922308488195149382866609400532237954833229671603182665195444781367889605935e+1420 +0),(3.409142307858327869616640507933186300692986105277775891781443050165019794219902166219788258596668207607786596779540219272244908723575124955081378687743829968175162912654417656801394042007993195564745299040641774580317811368668988440270137246265194891974980601640075694176217166724599939549121900662357309564690e+1405 1.011122984529774462893871535281078585905153322977715105562002650476350860899199412527973177519733745250009283973318054468394078910217016552931750148092736812718673548796105600492151401536388564865822747442620306199875636917256751021182538167279289326303399968156779346841679330255041125220245089378595297580001e+1112),(3.409142307858327869616640507933186300692986105277775891781443050165019794219902166219788258596668207607786596779540219272244908723575124955081378687743829968175162912654417656801394042007993195564745299040641774580317811368668988440270137246265194891974980601640075694176217166724599939549121913301394616186871e+1405 5.055614922648872314469357676405392929525766614888575527810013252381754304495997062639865887598668726250046419866590272341970394551085082764658750740463684063593367743980528002460757007681942824329113737213101530999378184586283755105912690836396446631516999840783896734208396651275205626101225446892976487900004e+1111),
11,0.68,1.6111453e+1434,1.6111453e+1434,1.6111453e+1434,(4.833436002931990673174104252080850953990215301590273816497239452428160871850535271055420508293658044511513535516599563483080909904680225426093644725526369033330191758288211889857007824966187106076305075221341146776517651766248675550714931294076501254537409105500845781571242375491283752362936044893548607560011e+1434 +0),(8.537251368241445673654597374241852758197343710235733314426653692770927350049471464805926500576839358470623654238112188159498486258410964898571520227920851530089169093062680418557398288666330896989379154256214617747447495044580728586103545249938984167367462633067307526333781196293990698792530507286283597018929e+1420 4.269087277831908808836851724639478769977157301097278716504299029195567040741546356955602107707351528711505725058362225998003471541297551465708768270189980600659456564179304834278586883387575212487884795149276137069581336405725679128930161139452796883365044653431988579899723231885313610831619806972146908062179e+1126),(8.537251368241445673654597374241852758197343710235733314426653692770927350049471464805926500576839358470623654238112188159498486258410964898571520227920851530089169093062680418557398288666330896989379154256214617747447495044580728586103545249938984167367462633067307526333781196293990698792530510132341782240202e+1420 +0),
11,0.73,1.2357684e+1434,1.2357684e+1434,1.2357684e+1434,(3.707305079324871899544310756720077646421802694279873048309720456519800174355326355552059824580085225459534201111684705401440698649918737579796643803564973446084431647235002055592689764708446447891484280307320290177001601614205710856338092609393983566540524731060166311830560601195567723816272687313262489089967e+1434 +0),(5.642551537399892448571342827765238926832986353995930637103079386574493919180978193393528342190025620689953101090286124596387344619614932494307063289277196701787178777245746936939259958921010138994880957726592470472592852920908090442793479734589475956537928399299596724171779565046106448922632925370664996411569e+1421 1.423029092610636269612283908213159589992385767032426238834766343065189013580515452318534035902450509570501908352787408666001157180432517155236256090063326866886485521393101611426195627795858404162628265049758712356527112135241893042976720379817598961121681551143996193299907743961771203610539935657382302687393e+1126),(5.642551537399892448571342827765238926832986353995930637103079386574493919180978193393528342190025620689953101090286124596387344619614932494307063289277196701787178777245746936939259958921010138994880957726592470472592852920908090442793479734589475956537928399299596724171779565046106448922632925584119360303165e+1421 2.134543638915954404418425862319739384988578650548639358252149514597783520370773178477801053853675764355752862529181112999001735770648775732854384135094990300329728282089652417139293441693787606243942397574638068534790668202862839564465080569726398441682522326715994289949861615942656805415809903486073454031089e+1126),
11,0.78,8.8509436e+1418,8.8509436e+1418,8.8509436e+1418,(2.655283088487607572084231965052688397305287524565576208731861902124368437856419947165214099555024960471141846281699039372409265406859498528716884741319621137395613007320465340181385021889155893168007556697066415837847352626885895814516765433163316874643334657222470937631774540074041034394479729102937715590925e+1419 +0),(2.617652069916635319521457067176443043906593221251815081713716367523467829165579173730005343662450246360300024962373498005777780517631990532594358784777809206309195702772867693106928839912281577193912140063912033495847450011975156688529099053454344080565718472134394885762682337659003026962803874473405318132015e+1407 1.263903730662218078617339419101348232381441653722143881952503313095438576123999265659966471899667181562511604966647568085492598637771270691164687685115921015898341935995132000615189251920485706082278434303275382749844546146570938776478172709099111657879249960195974183552099162818801406525306361723244121975001e+1111),(2.617652069916635319521457067176443043906593221251815081713716367523467829165579173730005343662450246360300024962373498005777780517631990532594358784777809206309195702772867693106928839912281577193912140063912033495847450011975156688529099053454344080565718472134394885762682337659003026962803874486044355438638e+1407 6.319518653311090393086697095506741161907208268610719409762516565477192880619996328299832359498335907812558024833237840427462993188856353455823438425579605079491709679975660003075946259602428530411392171516376913749222730732854693882390863545495558289396249800979870917760495814094007032626531808616220609875004e+1110),
11,0.83,9.3345055e+1387,9.3345055e+1387,9.3345055e+1387,(2.800351644137140286637528915310777666393702936462286720492140144561297609605838310623683483497221120752832399541388999840335378638452009258000991521507666151962488174185433594719334971566350254463043066895408573870790057331342616660874788275662784142010637034713672338125201359228288058337967599728624485747627e+1388 +0),(1.413956135769313797587325970348912187358200253369617074284431934691874340481788652230189970587832049809825041823361106264375237434476478078385953425571172106963644944826056634664878353932564211838016477892739917828677665723067670022225030323123706157357524814779959806399229598524056691201701430015719019833197e+1377 6.231526506765070301160696596152687890749110063403688497679302477763607209051500499788066244293961821952333272501950395663399593403864845925059827331526554391774291003690352101137249132796207204924972393633236191726946859158798567341410023100758524787877734195529024662964536558713808402416144918268951237514200e+1079),(1.413956135769313797587325970348912187358200253369617074284431934691874340481788652230189970587832049809825041823361106264375237434476478078385953425571172106963644944826056634664878353932564211838016477892739917828677665723067670022225030323123706157357524814779959806399229598524056691201701430017276901459888e+1377 1.246305301353014060232139319230537578149822012680737699535860495552721441810300099957613248858792364390466654500390079132679918680772969185011965466305310878354858200738070420227449826559241440984994478726647238345389371831759713468282004620151704957575546839105804932592907311742761680483228983653790247502840e+1080),
11,0.88,1.3236049e+1340,1.3236049e+1340,1.3236049e+1340,(3.970814814089764242837887360424715689522404074437859476129843942152860813638992428371495667315446964262940267004410625323867097618146900038420842226251291908043863244086181241099780960286448662848986364396871682053068507409168337676951888280682366474815099604934773461498555539729871529978137141854667917375582e+1340 +0),(8.437162904815800693240234732340434557892645130663882158093920445358862502768395008786880656034889293936869519718952606860957353722887180717800007303516201359284287568035615572946506087396441120632587073035166159107065822423380928797899482395647279739178173031547475074253884633599155189976636401754249361359473e+1329 8.527566918290317196464367435820302776726568363830324799427364235397702316922864072664509841532054283938015930486553328090255872449543453750565434528667945122442045947454259372997632543801544304463699816802534688986313943420558475124479424125467143548231308680113976736585471546905292708798311153239878432063934e+1031),(8.437162904815800693240234732340434557892645130663882158093920445358862502768395008786880656034889293936869519718952606860957353722887180717800007303516201359284287568035615572946506087396441120632587073035166159107065822423380928797899482395647279739178173031547475074253884633599155189976636401756381253089046e+1329 1.705513383658063439292873487164060555345313672766064959885472847079540463384572814532901968306410856787603186097310665618051174489908690750113086905733589024488409189490851874599526508760308860892739963360506937797262788684111695024895884825093428709646261736022795347317094309381058541759662230647975686412787e+1032),
