L,lambda,d[0],d[1],d[2],d[3],Z[0],Z[1],Z[2],Z[3],
6,0.43,1.1772032e+313,1.1772032e+313,1.1772032e+313,1.1772032e+313,(4.708812927428758122085681349504276184662359188650701078006193739043905182325587288625381862578278177222439929296408243997605392441700215760200340642826562647393184947899005979045469717082721719700350771089838125385943930265953544862328171973880180338446502237247045076990608238282291972550029214785094667355056e+313 +0),(1.741267938962812834021448750123087280112853116480360382259060613259366498278851986769194503321563345735320321908907148126147216679503982859575381228230209787167389115074349362832686072566180981537251734892835537760940598603098006914810171773614997074507159890449047301886137492322972243575551897028430122741623e+303 6.553600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+4),(7.417688007722616899977125657612703456363801862932586516399498987193552379007319325164200145009486494201392827841438768563935057199876491517340968406300764190188847060031176860644461197384926160969944676520573431856664757236196678928702914707589695341112090343696551660748800000000000000000000000000000000000000e+271 -3.088252646302535156583134088853821555970451210932715887733447138152854377185143310150027790410256250753947368427836816505803871997698222646724270972391878776045834691108351783080285111453550452411464505015208244556511310830538675675191937044230724708411624726747633997919828548303103039541666220747211211613836e+5),(1.741267938962812834021448750123087280112853116480360382259060613259366498278851986769194503321563345735320321908907148126147216679503982859575381228230209787167389115074349362832686072566180981537251734892835537760940598603098006914810171773614997074507159890449047301886137492322972243575551897029140801430084e+303 -1.310720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+5),
6,0.48,2.6679692e+327,2.6679692e+327,2.6679692e+327,2.6679692e+327,(1.067187685507438776248442846979800419145386534689462649581890065863700783958285162236128914934892211951193938387594975996521609586778329656319181362631805625876921055867437671692552556515944348434457968430655123948980066885614605653596671862558363064306153860425764902719437815155486874171140374903486161758860e+328 +0),(4.677209922834004074351251798189496031794306443976491555404754692862125321074486072699203992610467487469315068291536626111410076283630139415592518714737486994071400637014284955174917920091400863695334198267484317324653322548770262136314161559146610077455417470851006659570256775421844608926590604473352047652076e+318 1.844674407370955161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+19),(6.141516934037395026887342004063206270202482489626842543030526564183823439248044294253756834569649973156507611563425268580533431395099230358489502193728223298044192996712559668422144290307489505064663669382203829310069736728294612468459000358896831915185228467275152423798883843373909294448640000000000000000000e+290 -6.999099864066055539250855948823138869244093536883060944811551811460004941409249060199089320267060151147542350462132920122372548248077434197617198599465985083938750831307728995985050831641775265030921162576841936836579474238119481908420722524012056965336058939634948161329973060187121031347180750926996073173490e+19),(4.677209922834004074351251798189496031794306443976491555404754692862125321074486072699203992610467487469315068291536626111410076283630139415592518714737486994071400637014284955174917920091400863695334198267484317324653322548770262136314161559146610077455417470851006659570256775421844608926590604473498260369172e+318 -3.689348814741910323200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+19),
6,0.53,6.32221e+337,6.32221e+337,6.32221e+337,6.32221e+337,(2.528884001189857173154645326495964330866107606912491410111866805303451481152869184366627277874113655014425019424019247677514488839417525835362456736311467536291965731232576234410738070398730156233270558395837076006707290400650597176165327838481320283788619707059881824511221490148857913757834613220808104119610e+338 +0),(8.052535443188199356682646962969183350386925178174105675255629599745077789783634828022692232462092681993642658546891127040432061482087484545799798876700425051379106579808329542216830020104320168141553092664869661740302357089966333743313979147998237957356532452756452475875027589018801381389461085339105084155755e+329 6.338253001141147007483516026880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+29),(5.746730853970449394594737257726422196276363615668966222253873395768657616193484496553476367269366735480229222309728118109645335090213347033439538605367827734212861176965901060030884301559165411692930113596408705784442789812683569666760975613726877750722564282005152868721737605311925440453386085752792678400000e+304 -1.658556582093804416707064227839291523973745131194418461243909378919393133763461028407456258005282673993548614847170527147062084274899653837974902050392405296425968940527240888433592305629350320925277334098186717578532700007091019192207604736693711144021046670552861455655104969169061590178122068864089668031832e+30),(8.052535443188199356682646962969183350386925178174105675255629599745077789783634828022692232462092681993642658546891127040432061482087484545799798876700425051379106579808329542216830020104320168141553092664869661740302357089966333743313979147998237957356532452756452475875027589018801381389461085339146070016332e+329 -1.267650600228229401496703205376000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+30),
6,0.58,1.59142e+344,1.5914199e+344,1.5914199e+344,1.5914199e+344,(6.365679735738847132595197036714514703739018908137977666492753453384085389083504789579914988462444310722604049713424155515872801081485817196322115575637376248033881639606812892479367865521314411453362870961511431455864647563672063515557584783924545557283440410958887652360965048600960480887655324708175018038947e+344 +0),(1.028202484504258306947575811197005433810658538541511650047262742204555185209246621350222794219728147618243425841782945550895893518397500707931365382512010410439145592275323106314521331143548305071559233508474357016022608646669185269426767591640019846287721680234135434307039497208524592492311200988022723707835e+337 2.658455991569831745807614120560689152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+36),(1.179094193249712575226304277339202124201990995170215031769798291749689759133716034239931408032524804112048994696533691478170468180274649168616806821045839841692459811092712149610430164891558710818364222028493790115263596438419129875949179813282384777384731469151368148998364345927438985735597536677348255711258e+314 -4.174900797966536921832118549610271374968577774286195640971460069054538268484776992249299824042471309742644836900870946513115439309462121924634788562619333155712120801581535021308233087416375140214397788535930413603953198902033303630418697851310591519758812753381701745002711870573106648890051094837852207982219e+36),(1.028202484504258306947575811197005433810658538541511650047262742204555185209246621350222794219728147618243425841782945550895893518397500707931365382512010410439145592275323106314521331143548305071559233508474357016022608646669185269426767591640019846287721680234135434307039497208524592492311200988023595853698e+337 -3.987683987354747618711421180841033728000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+36),
6,0.63,3.9611655e+346,3.961165e+346,3.9611645e+346,3.961165e+346,(1.584465992820453747300796687933286969223613262046491578069189128245872027894046251223641366488094083635302763424841940052443431177588744272615070956056153919948514737148893231780069810611905466780364209357975831089063687936984966439953565454987474590535466226818952446742317419267231323844870624226095355851106e+347 +0),(9.882633891316370471099619626443455639208146393198964016783046121030010122815256813267643841968462324152637492045965806828508582549368726580457371877434774563666309119053767871932308910603547891258174469785430455830132049183728834558425915259538463559353043842435358517096160118988104869578223098321007085275706e+339 3.402823669209384634633746074317682114560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+38),(7.424109329961654730503145925447826019822942289312174209608248746186500047758640453942160701348869034068323060745813117143803524407726602193993989677239097012618131825220714326372936489433683317010218505575731967105294228973236488469070501026451931246636728515743126924596612836638835074693400257694699081947839e+318 -1.039164423374282812101972671647260505933124658197139180094912311814417895921188581252308131155093161725958075929381412926934492296872121794278482673291556835600042557616444720679741321074907945662344900570797152899490850269806539870418076138837520079174560442941781460502158548131709700223997008458369178787932e+39),(9.882633891316370471099619626443455639208146393198964016783046121030010122815256813267643841968462324152637492045965806828508582549368726580457371877434774563666309119053767871932308910603547891258174469785430455830132049183728834558425915259538463559353043842435358517096160118988104869578223098321009256112958e+339 -6.805647338418769269267492148635364229120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+38),
6,0.68,8.2902725e+344,8.2902693e+344,8.290266e+344,8.2902693e+344,(3.316107709236128159349869194559132097509849153249824817925987473961494118827005557702398109760545382680985236821354107772887180463836865505716699008440764934681115157319626316932135283725982261526089019664169090462226037597129223987113029689511993322103570297739784298483427438118934496319149257580098212478152e+345 +0),(6.453388606926104718474806419131618347372598767339485099000186099952976911607099128030367846776263127495324707132199677455537420798199439281251972077324720202260801093303699925438526018013747862425901016663325309904803112128034021834195525871557419830388664552180753342306154363774716227206540653410477474389252e+338 1.063382396627932698323045648224275660800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+37),(1.598853182516564066785100344888285203380649570975703151466946978498962675220433634656251355296253522398650341789769653812393554833127411498401678246972652787807963895972381244419326241489668921195998824138868642039275430963205244518374025705743988728420397697394171405975008626216002457499939132258644563905794e+319 -2.174852938789651283578129838687954040172958669532142254145914188826371162584910947700538093508888694613169473054148709213423588827618040387435701391021303201700604547989372695668277913265743737665385564019318467673896961938710173139954194909502527435248773020900717566535810342477423546251744404751343266928995e+37),(6.453388606926104718474806419131618347372598767339485099000186099952976911607099128030367846776263127495324707132199677455537420798199439281251972077324720202260801093303699925438526018013747862425901016663325309904803112128034021834195525871557419830388664552180753342306154363774716227206540653410477928720906e+338 -2.126764793255865396646091296448551321600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+37),
6,0.73,1.1262112e+339,1.12621e+339,1.1262089e+339,1.12621e+339,(4.504840036232817057872051497226524479678139816800145173554028907857961272004455508571840022837424363088928093294977953090808938304030041532774317358514879896420017516766659898517035433169363896483671495125413203996993517432854506880888266901093889502009558086328226480566013088162795894792195672551665408522613e+339 +0),(2.306203641893452872785864395445736413628654024007508057270644695132250546770512908023011393624710028469605136306688078118496543095937196687954892178622515391337081398689912592893348595107282120568729801335666748386717037288573823124368871240107881020567087793548571909371790594369894270554362806357457727676203e+333 2.028240960365167042394725128601600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+31),(1.097015368481280263139717745503066400559267908247016571578092508891987148559327759815908378784304376180144638137226183272454916222105904849825708466567613519936647762827039449818628231571858456471920783167254483763267877276431942729991654348743188809015026234276194714061854117169023688746622941062513568476299e+315 -2.954475885817213065791363421309607328296962645823494523355500664503688277690362143566324523759384475596616210108748303214824143998539597246328798724535607700556359166673738512854922868160410625573021843497416943214629662879273229961447527626863709408406132918287403854082834782918326289807740297980829333353853e+31),(2.306203641893452872785864395445736413628654024007508057270644695132250546770512908023011393624710028469605136306688078118496543095937196687954892178622515391337081398689912592893348595107282120568729801335666748386717037288573823124368871240107881020567087793548571909371790594369894270554362806357457789395889e+333 -3.042361440547750563592087692902400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+31),
6,0.78,6.8784118e+328,6.8783956e+328,6.8783795e+328,6.8783956e+328,(2.751358256254196933796145962085887809342735742991314833586454436900394290239819068829240617641571978341245057372481306270171594323367296481729028237106179544144097691705975978845736553790266479813222172621988478226442359674323918422062225332169209517615191106535364765403072336020430504309314233009306743511466e+329 +0),(3.223482201224907944432848169415783735910920107100016812977015991910507254169006134864316363499060067520684478295985664114362447679864462650614222373620558067600375332876886471186808829535495574871439912728808619044880307290986754920102641926014859273733413119493521376761502788446958891419364289936371427148209e+323 1.180591620717411303424000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+21),(1.902218119150124023365385083290185308445400903389808586509864888653223963020532792878906333375619239199740136683753992481382010354154949527000070971287600321597175671847656275441210547712698595737372377442275051302318056532025995289809618342091368699603178269055420468904747826303862073593921229878487678976000e+306 -1.804462331197520350926839284458608486499012832908680204950297895397595532609474029583318565777459873083602455510152671206554604655143009424032237449002124350471640918515686799326541527347524840131241849501408072597306090123901434001250797186823304689650845887669654792541012683264508451595292549010399568047291e+21),(3.223482201224907944432848169415783735910920107100016812977015991910507254169006134864316363499060067520684478295985664114362447679864462650614222373620558067600375332876886471186808829535495574871439912728808619044880307290986754920102641926014859273733413119493521376761502788446958891419364289936371464843879e+323 -1.770887431076116955136000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+21),
6,0.83,1.1517639e+314,1.1517584e+314,1.1517529e+314,1.1517584e+314,(4.607033654230963199564337890773907361491612015817367839432783269382036997871992182466652935632783112183229067857967641631264102008847947899459278665184740695939103648514209190341718686848211433992014090000194069792077056784567054546866849228684697152388310351627611121061102985998728923432361328464803000980571e+314 +0),(1.100441112041963783038968773456390408027848163814136540172236427922360372884355032988961864586708783042336326308230891977427811127456061525059830181302405645165081223123875472367805528040417920345167874207640822716058387607997945970239250498579126985571735721899960014444049472179732449073848583482151472662192e+309 2.097152000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+6),(5.624530760410635144425068489707456748201648110172766197845345849899009948668104381099728726883247566364256681649598782975457807339479318885281942503943934633181414777530074332729067451934286674940547521798016119524481573842031715154575319435483698942935703069372015138588231314860436202979328000000000000000000e+292 -3.021491141154652625813999570018258055425935307612196895378904934273065545769871643250618348571282165827143818856753218603628005463910986209897573571253261062762165230225513115461543327738921173302261314988320618116828220090685954947433061088005794464487088260146836033897379738191781138772366621924209093908474e+6),(1.100441112041963783038968773456390408027848163814136540172236427922360372884355032988961864586708783042336326308230891977427811127456061525059830181302405645165081223123875472367805528040417920345167874207640822716058387607997945970239250498579126985571735721899960014444049472179732449073848583482151478974176e+309 -3.145728000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+6),
6,0.88,2.7597651e+294,2.7597407e+294,2.7597163e+294,2.7597407e+294,(1.103896272195177109853361184186586592145816261016378472512685752054793752079521025290603443567053025603690583689743944375494355547479303955231388187952080422146846025248847875638923058141130920764671770317951326023585485967457057372866189538977428628333901821978279908319293044960852532466359954587687473211793e+295 +0),(4.877889432124192653886061708526619307306555630227473097844127331207423505605324477430445355189695417765054547810133318291049264912503539918984335368728442646365430925622793572432308565403776000886068869585099098905735942346130039869013361552370858288997311847157606369863221594783614581421993680136697750044164e+289 +0),(1.599540717697277063357501245328341000681673291244614360675306506897581806228197533385448815808102397342487913609769839417710674488874396409998965057187137751147550195937357910824913740727512890464334020867795516267912008778979030923099095984810681794920093003919648550521015853113413740723558476020116358995438e+274 -7.239806840920043318639671800311345955836973764099450847730711953783536418966759157404398769312056054423724886651736751105863785304365964907944110713907501247034075586306275922106835891495180435976297249298518526208481214170502088631512149094036537578414385307554420635189556569756259961544169916131921238983172e-14),(4.877889432124192653886061708526619307306555630227473097844127331207423505605324477430445355189695417765054547810133318291049264912503539918984335368728442646365430925622793572432308565403776000886068869585099098905735942346130039869013361552370858288997311847157606369863221594783614581421993680136697768010565e+289 -2.842170943040400743484497070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-14),
