L,lambda,d[0],Z[0],
10,0.43,6.6771689e+1037,(6.677168917916915874936068722502084078214526785447054013436181351305558420117425730164216178747152798180157389917202684348347818401516353456911316579809436390487263221147885348265343252574337141147441725333669540578554849487622299715158724383670559689071132715644608421877238041750315850554874639102722504280933e+1037 +0),
10,0.48,8.4920655e+1097,(8.492065532979902261262481741353556713341917599732178129310257982609558528332082811600452053934692604925209110457923053170672371974777782062549798644775112990596028850812969124509633093182205917443186672096347250229051140615101028459402642435975121724973570621277495910050633246303446790924527016455152212810518e+1097 +0),
10,0.53,6.6095937e+1146,(6.609593652512549424460571200037313453898586503000556935889552866632801587035334055994213127289193782720925672271018826591478644562894018738968992750062297566764888616057410739256860635367858150167673752496376403791755187884658738228348419355518785318092558837140230656145032048959112677248125831346892652969343e+1146 +0),
10,0.58,3.1196127e+1184,(3.119612703861013369681965978313116787895005565945479407701946049241548622465337709545252538500232531152280794817782591114710200093836841903357948228910438655889989187047912489510959250527985552199604872391257255467940834803758966380886204305279855403101612139047896983588442404569747279252734147306013053816753e+1184 +0),
10,0.63,6.8086527e+1210,(6.808652740779575636641052414495367430861252062150118963675660156180194328226947043879763684846033729352372885371864200946849406712352169041716368427325072347875138608861447302906507672783785816172976018815880342845572150183928300132481950731061176806088076776665193952791803374543536072079707554080116539124998e+1210 +0),
10,0.68,4.0005797e+1225,(4.000579735021751824540433578584229493462854107885023651262565324564611330921254231337351559576745076612839464921882793753138638147822408648208360270008037164242678454474681246402648305524039762552537195172811911846066753966202938067041686858218185779404652056007212543661741029013129443073244823333863025696917e+1225 +0),
10,0.73,2.7562869e+1228,(2.756286871452007557161701481840001277212261166480260104740498116981678565171375179128352380552112235746506646544255375855226133509766224389088686588796706828548526453624921815736411239675470492494691912826222247638328128797260877201905672740085728501963461932417148236348677728700056363018801380337838875190299e+1228 +0),
10,0.78,7.0081735e+1218,(7.008173495617417016179994855921036997589197571885426279398135914927901184378503771605426952718934732528689397953769337169448020651939616483309889627665567295353002056113037718497407222905498405441637486593369452463932261951542600861018287877329376963475607170637747293544253955424579933230696665006057376477569e+1218 +0),
10,0.83,1.4187575e+1196,(1.418757493647808525915403419389110402932970774005459378666420212263982174086060561391450922725507275081956229660559698355765880460489224882299640835001529682528527223920303815364443152887162702219755806161037610008612227348419734181824609724094805249539813584296604390589984361808059282393329888661790323184182e+1196 +0),
10,0.88,3.1323951e+1159,(3.132395106101843392026990234442413520726448383507935850318753294919536788556167613017266864721082408270061858366980798929733312151686925201709961636010408692422428187174431742777049444371086699341589293128979670999100389010607398143321032494039231765060147365289381463222873105262520547993895772963582888734559e+1159 +0),
10,0.93,5.8749459e+1107,(5.874945947460805996859980769932396648008395174670203148322160164843519164331756706607602306844027962485183582792564337042129983533308479659421072286283148219728829077970265195085810315988424311774420195373028551317769929555527108351296555711749748737400566952006065630837679515161355047311282923892381275040751e+1107 +0),
10,0.98,3.5369171e+1039,(3.536917078386878317359985670855518536101030195323103847950682723609883332864607053049903711078763333934783727940534138858474978636793523017609559380126240620040913264410864002810376180804918887784844290364267907857279024535413125289448236895100883970713237807587714026910871914697317356853617593207597111333518e+1039 +0),
10,1.03,9.9285894e+952,(9.928589370838315168563469709658552311571172803715863870005396091251743872641942243125524049817446824687417617194450337378140604082690331434900910970479867696698163912950477838992886352560387842204533971831873856948118318686903967328275673416734985664061865857496250873009689847109473411449273767755020125641813e+952 +0),
10,1.08,5.1210405e+845,(5.121040499071078560550150614914681116740140011400079871962772648294599041723023591814116197903262216697652885281713803483850975689098923494657947901422120442539722077304280101747939003060442413549546676151223974477366072415188682849199330575595551228527583583462918052980961771729797124767746305173244596330060e+845 +0),
10,1.13,3.0264147e+714,(3.026414706097928803325561875241709835247459294805721954454915972678216236296146781462103891631781085029920814360661025209364247652624415073723066666201341666747599730920963640144101613244032700725644742346555714941070725101187825356443806088491846122017096381851770103360743230936770888400364823294167791969487e+714 +0),
10,1.18,8.494484e+554,(8.494483971466252866697427524352057879975489582656231718039776573238224549869525605619368282589380294958579993320861825761081369814020326799929136440996953987134873872376987227517801715186869698316209556798197614380916505281825275803505701538793126304455784473150926305380480157648668681979170677075353544739751e+554 +0),
