L,lambda,d[000],d[100],Z[000],Z[100],
6,0.43,2.0955293e+367,2.0955293e+367,(4.191058679142099653311086455562480873631890347193162910853639364080141922275260013624899395148684320278262848409896558824600254003634059998419201985040071277129456423399773374678333217232480862340158485570745488156681417422461397090752596370058434039186618862355790041825429470650505343236535561717930643163797e+367 +0),(9.086150547061189874693004735536190873737290819869943391628361706363010431280493276658634695911616284231501136924546045709705039312870717709419165781157372230015797158656353900943029285117115507663900916905213510146932988227754434418439685828641730302035290796801938986747387188436226570396118990460668294418029e+341 1.914021577192013658404248768407503280274400548532493621876597238921677480934280315470246180246961103768365817991696431897573597136593345836888365320342661076067677529958616009279747170090788559777981852817692719435528449376708317476805231770478822378019400110763236470074799046011814077501572098330443351282593e+59),
6,0.48,9.6598328e+387,9.6598328e+387,(1.931966562020261358263150869603072319079518557726884528944472713580576215368100971302917828883673116600393966662532120262689720712800226797790578332028339255986962894050022852943428215221934385102109140882039128384442044129674937042015179851010366961208842439543138763473950445753681763969309164620318814236094e+388 +0),(3.908728155520611285179823623399540032818780118959819740823976015792769676318932675156072237699416359631817431566628980922456195310503430464142740812506954492615327264555430623397127970452598528924695518359154567441500182383326846156261641190904494963540339288023238399745571642222319577791393515633019858473745e+365 8.823130309588482243657954778190056305866274144289669151532309501813785801108909782161192071082006532526698630832366887398189816091601374809050656042988370245466626066984060576913504145191792525349336828172828828857891624423256601581532838566298780872225229638186847307517675479457235182346084134074183153072874e+79),
6,0.53,4.177311e+404,4.177311e+404,(8.354622020347125905064339418788002266140663365187762262493799518812136461153916063390369360270884239747746284124054996894548392725370050871635044686308564350026207416200185250191514963072564767082189052735404392757203015639775821718173087090542085259219994879956930990798163561331044623462992124499868642573277e+404 +0),(3.517856378061516769863634977833114802505783573595209551596944540111964881923817530738922347250322692877080967036576829412274896820213253709122121316374922896344834827250889666728212375642792777421069673021315217647205850942822162420362090486722340019923707384602152072453705249985899388273399976902655487431658e+384 3.815486262650285903032854241158311620566386303216916033786061621390075576946274895502104845616046153303942202593676990296692244377368532299107980271389111063572346166689758606286005091084116219685073013749417931491550039708617176837904673228834710219743538184521091392898801142996327585912895248176894875972753e+96),
6,0.58,1.6801653e+417,1.6801653e+417,(3.360330557942963348178087470642612529723383877819494564069829158228279788855212380937842079380299780768693269430783554411124851149030222569355219430000015359673333709888362352217817127657965532093715454382382352467053658264885859220952252704116826493404467720827889746540127827791858427909459933578373486431104e+417 +0),(1.038018372238165151819307619796854495452311429469498375228915261049651509295296740648438070174339510510115259693904809119112469276081597360938016863009384302008049736563942787509932312792624399811604486804066232472467674483211807655827397407226890485182509896068183094145491198906576248344099295621093101602893e+399 1.534634966198343425524870106461307320807844000521727990942313658954491032698673543903054722490274156436498830556653808207797180419616064192294881051324794502049042347067966044874032881180531389167720287215186704450737197973347093572806547485239905907656304178530042923503928128436135070413304466284483471558303e+109),
6,0.63,5.6826329e+425,5.6826329e+425,(1.136526581040372378293821880681802671073419984303366904228014248330700528976797775457882880876216376052737138740438923855839463454455480830027434884572914669495203283526056347713423923388138121790729510418439623963997900134276402668371237492688090719851095993118354662903172135022537204826718272563434314604636e+426 +0),(1.206009050130321788131545820036379097007183695802897862306070296261813767877855051639644484114971297174173934330169818355657135443781302620400609388482339417129772780668996241140952549225713428590583905993154228150634018486353082555456720772305112776284322585163570451881394223966449154133699999455273974224856e+409 5.190422195684520799644592836303847010445480026088171328677152650500030614246825242766132370600324827577825973428959160168317309498309992042133296079805443148755298477867690662238378546144235793745858253871742506094832415740402889325772236297876449676052772468475938126611435230182920295858767278188230461759697e+117),
6,0.68,1.3276231e+430,1.3276231e+430,(2.655246116508261283761958457941118698586756714755037948158369054088096644562225947952590654505416729475686972484260514515549352643818451107243667579381967889100753293158920703173377840634012065714526730346471253778560903748088138947487319497272705717557499075075961083583989262635609467850792347978763379094176e+430 +0),(5.462000585809829746654783751351073211761892135023952640305524693274710471439722837818702508002551307385482795994196338515437645940266611610077275453314887456231697916335283613392495838997856416332990435112768305781100950912622968954937952144510545828296343814255069354822838619117087462757856845023426030160406e+414 1.212628776839847329287619125096529265995597535576200720448945513921806267091865073565245703428032306344238551646786294105784370697235306258604144997050606366228402493535879409543221461372694890440670326982636807415138176200598373223610785670516200708437067151828508157895432226719642568025003175873310140887352e+122),
6,0.73,1.587051e+430,1.587051e+430,(3.174101983930057238380988832888525169870064652057370913603081250866072703247905763405953029687818431898450221319525420002090687475168554951611783564335114057358466268386657153396548727006533686660177084810832437317007903185970902039787475996785715531941782167055737880444096320756444378501096391304022522993960e+430 +0),(8.119561000100677770862885444456250688593025586746350870029277798763506488545444007041864334294699606996393040367493277244369628844210315722485629759176068289208553604851819765909049058756375664568255889382390957919452043694043685299647024094389649368125069506523423425446950401712168346494479964212706002652351e+415 1.449585928177386549145773010012590725621807806831882403609851337518691527286014413192720414154793798527648364567601128743614910577124822685165875885650690957170340292228124496803744198257669205762582563580979705538373598315663850617965688635914790108107986204037901030287056569820944458292539943955219000788886e+122),
6,0.78,6.4029829e+425,6.4029829e+425,(1.280596588580226349793132980793982244945115340221182977454151052141177927826779029606619476776394426288812734580926122652218569459905169912455012374568970949212981835907033792124923428848665760984304254105803842303134719741691010289657600587546325463255675872856647301657589470463066171783935400182178985961802e+426 +0),(2.861948276159578219539489810059148925276101626134309382215474209635002054944183677414777449600233936294260867479906858098816506769686127292726649780479437079954984458560429446470003349289298615257554781660559656278517755894744538266216256934698994149526683533769336065879476351164106355746654976120812248730051e+412 5.848377915631366991007044807509894876248135849413031971670213639265279198056819439824917529905384128596822410529558337882335555410443449354295808601807556357712851229349503239846768202991553729237367257390598555907995883360192252396329989750602545080960086984423354064001675974611937316272717922608388401955695e+117),
6,0.83,5.0251956e+416,5.0251956e+416,(1.005039122679472859740564244520990518640786118217618467723283950107665411647506987465704055896450931732132458044334073166790366654133643855611908401495662348150418699192040802535023124948083711620652821269817560319969436331294286268864275836569464789340301522697286401891111971828739438318877754864575553905562e+417 +0),(1.472654167559902261615544685193493472147355280419118831423357110427143530219973416238902868430817952846371682531519371019632928530720889480171846260650184467850826099266323116865253961037673184280364386876968906754037045790892010496272545600243150390721250124051127834973500058582401276196802022583955462949930e+404 4.589929929408983426356966198469699022346783623214742870187193679580255948389654158644764437652490593231025141370076974792397887844933426478823745568480277679532174563306187335495671103682467861897969774444114564117553609983170534612139013905000743807682265100278143396113070779760662045547565117623217853225452e+108),
6,0.88,3.7597182e+402,3.7597182e+402,(7.519436379211411203319478372510317821499224032540204205394089137488511896116910330959365226706823725407197579710626155449762208509454624904489278866115315103770004359169197277257101011454388556986604655716641662932900216218847470695514873880401403847752685227251398524451049174848268226305168474779966370596016e+402 +0),(5.691440266828440450746567280117566593475545124709546898148982117938308838886573544455859547710763408875728727807569505997055151738308517485388524837564204401242025321900296732873669397159686462563056593154840446102914327270289198147601084615092850069556562201395940148753299367385938980932830438253476436005879e+390 3.434063939440814720543487858364783543623576589336138165984730108449831688955919395455582147009799206190036261758272706548184403731932948590432715436625213666456118167368961437178218574962924378428436206048813194135211043180566881081967764890319952873212686747531451187152527377200786148293965461809154413069301e+94),
