L,lambda,d[0],d[1],d[2],Z[0],Z[1],Z[2],
6,0.43,1.5550974e+342,1.5550974e+342,1.5550974e+342,(4.665292316055463584294795380982468380155476263221799765708028191985100756979399219508893530949535709669755635006362819605820550478949964474233790351767641260758890218802057499864594430896896507736562070477339899124603767116997310107714713109369410071512761916091080814300633587590638476014405726592091824581768e+342 +0),(1.167162271746373432188927125115704646124639026673382493084633672731912617979701572421297460236614003986852134229424205988543749188489671769190588748225263976172062193475373392813972365915131921399297940135119435332379180149363132417634543513552277148464172271174436499074125702401770878955972022191454186130833e+322 2.076918743413931051412198531688038400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+34),(1.167162271746373432188927125115704646124639026673382493084633672731912617979701572421297460236614003986852134229424205988543749188489671769190588748225263976172062193475373392813972365915131921399297940135119435332379180149363132417634543513552277148464172271174436499074125702401770878958568170620721599945098e+322 3.115378115120896577118297797532057600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+34),
6,0.48,7.6908521e+359,7.6908521e+359,7.6908521e+359,(2.307255633036662152304703446902063544734771019948791040953064135353926724235879514782081306580788219190776945667788364110309621807784146008036062561226568623389462428458371790864538838056410326167529701467409971522264521404080117378556645977270104544987395935896929438574136427048862367330187435662486069856919e+360 +0),(9.025058548168321548481295011195565793833909444832964635929451917910273918161959796677429188950558300154833130969884246910930045526368444952156311169621357288733780267724294043039551319910859817896713045323359099937498929757472465242763607986801023892614402641928532667633359613375306009994839153565334346251455e+341 5.986310706507378352962293074805895248510699696029696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+51),(9.025058548168321548481295011195565793833909444832964635929451917910273918161959796677429188950558300154833130969884246910930045526368444952156311169621357288733780267724294043039551319910859817896713045323359099937498929757472465242763607986801023892614402641928532667633359613375306009994988811332997030710279e+341 1.197262141301475670592458614961179049702139939205939200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+52),
6,0.53,3.6108059e+373,3.6108059e+373,3.6108059e+373,(1.083241784365881416017467370685277561542037409956289137022293890960699573128542029796303437252778414001484494061909848571528360381375787846074521843258956940553582588560920018936170995365040126270858326463549589845251781210798915040724735712388974278801703989417767969686553763273061507430752467147057301609251e+374 +0),(2.378618099440624648850405362190736836650679354785246667223222422784114636115957234706601386222375857107075247790804453223147349302193195918254664042469814153188716685395279416997413874524792607173670120468437974277082809212558568690333390499612161943196273257069795523840036729169745837218101863246203861975673e+357 6.318737500113431201875081661020225939133705724032946675258658652160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+65),(2.378618099440624648850405362190736836650679354785246667223222422784114636115957234706601386222375857107075247790804453223147349302193195918254664042469814153188716685395279416997413874524792607173670120468437974277082809212558568690333390499612161943196273257069795523840036729169745837218102495119953873318793e+357 2.106245833371143733958360553673408646377901908010982225086219550720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+65),
6,0.58,1.6137823e+383,1.6137823e+383,1.6137823e+383,(4.841346942187013144057389800712667628253479599918142804894706151887012757552619612387961301779893521097073080109910712781686129128360854377557623510669922019087560315687792441863756202568824315392005984860084446141977127103482656517873801245376538027389933291139904904164521223692888399802128766243117221135432e+383 +0),(2.846350126723808594246305233884790786016949587054623715561138152882641665868230357230911822417412749412942904283990754752598972251664764707982447058121992130113045668377635811840343675049375243880230632700879733276625713774536939704425206091746919059224691142276145694856700524876097083279763874683303153753023e+368 2.713877091499598330239944961141122840311015265600950719674787125185463975936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+75),(2.846350126723808594246305233884790786016949587054623715561138152882641665868230357230911822417412749412942904283990754752598972251664764707982447058121992130113045668377635811840343675049375243880230632700879733276625713774536939704425206091746919059224691142276145694856700524876097083279763901822074068749007e+368 1.809251394333065553493296640760748560207343510400633813116524750123642650624000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+75),
6,0.63,6.277401e+388,6.277401e+388,6.277401e+388,(1.883220292285737352381513888675277309273973621219328925139780209854916114239301944017142054055867682600156741058035452422640374979417646290649785527134108653876780332220328461286116980884653008138772278817045953053944871541425465490716316732180616909128291314638667945091664798898030470325832794292343364938536e+389 +0),(1.702100579728655034253424221794200462607052055031976543988902902724526314896229352942783990715907069128309404950992661182708189389801866007624839951684721306999163307375562575465982067162377376759970515629509019281091726711810574463895778014622617525452535910320235372885267705115812129311553183698242108116322e+375 4.742843975160471364549467545955856705669938571904637503056182640964121790051778560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+80),(1.702100579728655034253424221794200462607052055031976543988902902724526314896229352942783990715907069128309404950992661182708189389801866007624839951684721306999163307375562575465982067162377376759970515629509019281091726711810574463895778014622617525452535910320235372885267705115812129311553184883953101906440e+375 9.485687950320942729098935091911713411339877143809275006112365281928243580103557120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+80),
6,0.68,1.766609e+390,1.766609e+390,1.766609e+390,(5.299827038929213720113400755609183784665766142824123730998315593048886937954866727638969965877647518714608329045657823427960751711900801493187387272774753572162762680435550090517416443891428582913266275358427221933119935951725004387124461372637360850478598805936662615579449467759695801341144230785586268465436e+390 +0),(4.797189719842775899376135153396646201180613692192196651364750846167409821075124608956120044511383322534522390660563356399614443670952257133295166806768447825692378107692293643061442953848517218753591466975072208204481501060813336680558621332886710365405553211627119474255360146427957903146260044670284122466583e+377 +0),(4.797189719842775899376135153396646201180613692192196651364750846167409821075124608956120044511383322534522390660563356399614443670952257133295166806768447825692378107692293643061442953848517218753591466975072208204481501060813336680558621332886710365405553211627119474255360146427957903146260044973826136876853e+377 4.553130216154052509967488844117622437443141029028452002933935335325556918449707417600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+82),
6,0.73,2.701011e+387,2.701011e+387,2.701011e+387,(8.103032918857644476462636512804268037374819103339300327556101360424869598438169408011691594491473922641810202206132710756520725934729934966751826686309818773648006374011258640528483527885561606769658354121318260099045900048398857716827919331604300611659964811532927856025816504899401569853694045521075802028816e+387 +0),(5.229481805302962830136494462222473240642862048492380023947392996983978339827081351400719870713594314211147785655938896464999185160046188240041394318112175637773347500040616685746534683259302172747594128803851006037518539098351586770575892384971589897270023380726478093171575948559119454888286045070651516050260e+375 2.964277484475294602843417216222410441043711607440398439410114150602576118782361600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+79),(5.229481805302962830136494462222473240642862048492380023947392996983978339827081351400719870713594314211147785655938896464999185160046188240041394318112175637773347500040616685746534683259302172747594128803851006037518539098351586770575892384971589897270023380726478093171575948559119454888286045115115678317389e+375 4.446416226712941904265125824333615661565567411160597659115171225903864178173542400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+79),
6,0.78,1.5049691e+380,1.5049691e+380,1.5049691e+380,(4.514907296586753624195923194229109438334696742993437941950725435291866564236400809573421699254198154429128436135308848315697503477123921088464814524113193700009113736017688978816678124565828081953731000329339121191793476884020651333768708628734414823313436406359847135173496669967992341842039451586937324649596e+380 +0),(1.577003354892080967117257173749535539633315471146062605560763216130922818118149205349174515940356135812635325106974680467641913369578759706311193989956527946226731013927906513724690524677283917477649638973283891820481989843446558613083572310667880093512981559558898561544470632778975536419772167691863270977514e+369 2.650270597167576494374946251114377773741225845313428437182409301938929664000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+72),(1.577003354892080967117257173749535539633315471146062605560763216130922818118149205349174515940356135812635325106974680467641913369578759706311193989956527946226731013927906513724690524677283917477649638973283891820481989843446558613083572310667880093512981559558898561544470632778975536419772167694513541574681e+369 8.834235323891921647916487503714592579137419484378094790608031006463098880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+71),
6,0.83,1.7992519e+368,1.7992519e+368,1.7992519e+368,(5.397755806895719606011483327773189148765081103081379902167660445056456991591142976251556321054307346167779565540432889447066837152072540617993597730123018320189254464461583941736531786133027561151848505350541053152411398204517375965452439721525383204283009678037433781480084430180557447430252025701932435021322e+368 +0),(8.121291833265767894399942280836257481084007327659960826057682690911252081912345597593176902471296577521340322131413729796028054110261305249264265676175983450093887926504474578821956198874634680925092097921042266707549138046557665242207233783972423391132522056516989153751125407088948060274995963371624766205712e+357 +0),(8.121291833265767894399942280836257481084007327659960826057682690911252081912345597593176902471296577521340322131413729796028054110261305249264265676175983450093887926504474578821956198874634680925092097921042266707549138046557665242207233783972423391132522056516989153751125407088948060274995963374838642294230e+357 4.820814132776970826625886277023487807566608981348378505904128000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+60),
6,0.88,2.3233454e+351,2.3233454e+351,2.3233454e+351,(6.970036055324324539021717301794697126970466611792179588494916908214461780576314460257189182686592573676383402269307352513964446231449001319377962692101241547586978555384194099381481470215010797219103791635999881141494867249187548635512830183899361811349483213262186203822210995570780366140924670930514974262565e+351 +0),(3.726205986903773800497394162604504519264543512477652612426236938454610785501612835340828984780507255412769177853506226465492963178998372861235382731789051536671011933609808463824790889093980968789776625403072717300150264942852636252759150129955769829629389080378376793859285895739567214204064338953769407430290e+341 4.460149039706124628307143654529672301196083200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+43),(3.726205986903773800497394162604504519264543512477652612426236938454610785501612835340828984780507255412769177853506226465492963178998372861235382731789051536671011933609808463824790889093980968789776625403072717300150264942852636252759150129955769829629389080378376793859285895739567214204064338954215422334260e+341 4.460149039706124628307143654529672301196083200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e+43),
