L,lambda,d[000],d[001],d[100],d[101],d[200],d[201],Z[000],Z[001],Z[100],Z[101],Z[200],Z[201],
4,0.43,2.7891989e+143,2.7891989e+143,2.7891989e+143,2.7891989e+143,2.7891989e+143,2.7891989e+143,(1.673519321250201829508062543605224293697325465576763675978155319922322861281374164750523634805080521329142220331355596301549050711681494921485872440342094598445151526377342575247638553486378043784311096950891457937162412350307412543590016742002021077885677992733884880727850324358502387548288280824217134464210e+144 +0),(-1.637375433881012918202091252982083766682328010024719058688410659633021385676318358296040145714591232160650563239574597998690344808081326555728353590445436756841148966689086340768208601970097526366745129358495320471704535378978415339806670473996984669807214065514049528631499141724285964268660135997766169741980e+118 7.642823295846331505159505140808415090033814740392973581430347025395674347175413068646076487815892219440524310106961782536443397080962450428956720054004785769092929269192223083731051430132469454686176967753762583865553446729709158520078857390170513312188469944616186221594784906381703909348795617835845440342988e-165),(1.638368328486696499824484721437806783993951818323224053765497103581220450870143203973431238692765822981641110227625104413699409662434850573739052256777276511374533704315575390176808998247519440382947326535427780119001266575509826223046300582016491431867384833416039930474654738361768985142073452494880907828358e+135 9.459123954835514339318143080190008122412706689305216310717684624056446088546467909300372754579190585579111830928623761771038140095615974454433163887271141902464082330666289949908235354394619131754075440713712119492747564197417064389897003507427207277373307466832163323460604172952023497971299438120490010778609e+134),(-1.322329344258384330593324608806091288496697489563048608047865218657393291875903533082435382836680944154849784702569290769348252066448000299914688956667448398548734840622849456029622898355623194412420723511127029109885674852775160981071685184395414921125446039476578348135775665557500733968591333236269979719301e+109 -1.447925217741703055385233130339810811138811050428386159086067376984507671859440020317886979495706756727343783154991414395247984702309602630922385642802979659573007956263457456836746040786763993934582531524662330817675629980837863161559188258101502797971085480198706042559057023203842393175973367318466268143439e+109),(1.638368328486696499824484721437806783993951818323224053765497103581220450870143203973431238692765822981641110227625104413699409662434850573739052256777276511374533704315575390176808998247519440382947326535427780119001266575509826223046300582016491431867384833416039930474654738361768985142073452494887419816882e+135 -9.459123954835514339318143080190008122412706689305216310717684624056446088546467909300372754579190585579111830928623761771038140095615974454433163887271141902464082330666289949908235354394619131754075440713712119492747564197417064389897003507427207277373307466832163323460604172952023497971299438120359771008132e+134),(-1.322329344258384330593324608806091288496697489563048608047865218657393291875903533082435382836680944154849784702569290769348252066448000299914688956667448398548734840622849456029622898355623194412420723511127029109885674852775160981071685184395414921125446039476578348135775557024358669267542337010029048539609e+109 1.447925217741703055385233130339810811138811050428386159086067376984507671859440020317886979495706756727343783154991414395247984702309602630922385642802979659573007956263457456836746040786763993934582531524662330817675629980837863161559188258101502797971085480198706042559059193866683687196953291843284891737284e+109),
4,0.48,1.1602748e+150,1.1602748e+150,1.1602748e+150,1.1602748e+150,1.1602748e+150,1.1602748e+150,(6.9616487e+150 +0),(-2.5669377e+128 3.1793269e-158),(6.2149092e+142 3.5881795e+142),(-1.8932581e+120 -2.0652845e+120),(6.2149092e+142 -3.5881795e+142),(-1.8932581e+120 2.0652845e+120),
4,0.53,8.579903e+154,8.579903e+154,8.5799021e+154,8.5799021e+154,8.5799012e+154,8.5799012e+154,(5.1479412e+155 +0),(-7.3089152e+135 2.3510219e-153),(2.6439093e+148 1.5264617e+148),(-3.1073515e+128 -3.3740235e+128),(2.6439093e+148 -1.5264617e+148),(-3.1073515e+128 3.3740235e+128),
4,0.58,1.0996243e+158,1.0996243e+158,1.0996238e+158,1.0996238e+158,1.0996234e+158,1.0996234e+158,(6.5977429e+158 +0),(-8.9484442e+140 3.0131342e-150),(1.3920612e+152 8.0370689e+151),(-1.5661973e+134 -1.6922959e+134),(1.3920612e+152 -8.0370689e+151),(-1.5661973e+134 1.6922959e+134),
4,0.63,2.3351823e+159,2.3351823e+159,2.3351791e+159,2.3351791e+159,2.335176e+159,2.335176e+159,(1.4011075e+160 +0),(-7.1321132e+143 6.3987411e-149),(9.4325185e+153 5.4458671e+153),(-3.9913533e+137 -4.2917005e+137),(9.4325185e+153 -5.4458671e+153),(-3.9913533e+137 4.2917005e+137),
4,0.68,7.6104383e+158,7.6104383e+158,7.6104113e+158,7.6104113e+158,7.6103844e+158,7.6103844e+158,(4.5662468e+159 +0),(-4.4918327e+144 2.0853669e-149),(8.0766992e+153 4.6630844e+153),(-6.6178663e+138 -7.0824722e+138),(8.0766992e+153 -4.6630844e+153),(-6.6178663e+138 7.0824722e+138),
4,0.73,3.3865207e+156,3.3865207e+156,3.3864937e+156,3.3864937e+156,3.3864667e+156,3.3864667e+156,(2.0318962e+157 +0),(-2.3557607e+143 9.2795007e-152),(8.1060741e+151 4.6800440e+151),(-7.8429403e+137 -8.3565088e+137),(8.1060741e+151 -4.6800440e+151),(-7.8429403e+137 8.3565088e+137),
4,0.78,1.7446876e+152,1.7446876e+152,1.7446598e+152,1.7446598e+152,1.744632e+152,1.744632e+152,(1.0467959e+153 +0),(-9.7503934e+139 4.7806296e-156),(8.3350437e+147 4.8122397e+147),(-6.4902181e+134 -6.8870083e+134),(8.3350437e+147 -4.8122397e+147),(-6.4902181e+134 6.8870083e+134),
4,0.83,8.3315141e+145,8.3315141e+145,8.3312744e+145,8.3312744e+145,8.3310347e+145,8.3310347e+145,(4.9987646e+146 +0),(-2.7523112e+134 2.2828942e-162),(7.1904417e+141 4.1514034e+141),(-3.3148468e+129 -3.5044360e+129),(7.1904417e+141 -4.1514034e+141),(-3.3148468e+129 3.5044360e+129),
4,0.88,2.7528865e+137,2.7528865e+137,2.7527548e+137,2.7527548e+137,2.7526231e+137,2.7526231e+137,(1.6516529e+138 +0),(-4.1775571e+126 7.5429611e-171),(3.9518246e+133 2.2815870e+133),(-8.3807893e+121 -8.8304611e+121),(3.9518246e+133 -2.2815870e+133),(-8.3807893e+121 8.8304611e+121),
4,0.93,4.3034665e+126,4.3034665e+126,4.303147e+126,4.303147e+126,4.3028274e+126,4.3028274e+126,(2.5818882e+127 +0),(-2.4280990e+116 1.1791268e-181),(9.5864749e+122 5.5347539e+122),(-7.5685626e+111 -7.9508258e+111),(9.5864749e+122 -5.5347539e+122),(-7.5685626e+111 7.9508258e+111),
4,0.98,1.9432645e+113,1.9432645e+113,1.9430535e+113,1.9430535e+113,1.9428424e+113,1.9428424e+113,(1.1658321e+114 +0),(-3.4042625e+103 5.3242580e-195),(6.3316795e+109 3.6555969e+109),(-1.5538485e+99 -1.6280086e+99),(6.3316795e+109 -3.6555969e+109),(-1.5538485e+99 1.6280086e+99),
4,1.03,1.3311346e+97,1.3311346e+97,1.3309337e+97,1.3309337e+97,1.3307327e+97,1.3307327e+97,(7.9856021e+97 +0),(-6.1972378e+87 3.6469579e-211),(6.0282907e+93 3.4804353e+93),(-3.9355438e+83 -4.1137799e+83),(6.0282907e+93 -3.4804353e+93),(-3.9355438e+83 4.1137799e+83),
4,1.08,5.9076781e+77,5.9076781e+77,5.9064926e+77,5.9064926e+77,5.9053071e+77,5.9053071e+77,(3.5438955e+78 +0),(-6.3816893e+68 1.6184676e-230),(3.5564942e+74 2.0533429e+74),(-5.3921203e+64 -5.6248713e+64),(3.5564942e+74 -2.0533429e+74),(-5.3921203e+64 5.6248713e+64),
4,1.13,5.4106256e+54,5.4106256e+54,5.409238e+54,5.409238e+54,5.4078504e+54,5.4078504e+54,(3.2455428e+55 +0),(-1.2033214e+46 1.4822124e-253),(4.1628407e+51 2.4034172e+51),(-1.3004082e+42 -1.3541519e+42),(4.1628407e+51 -2.4034172e+51),(-1.3004082e+42 1.3541519e+42),
4,1.18,2.1131388e+27,2.1131388e+27,2.1124702e+27,2.1124702e+27,2.1118015e+27,2.1118015e+27,(1.2674821e+28 +0),(-8.6995924e+18 5.7884852e-281),(2.0060045e+24 1.1581672e+24),(-1.1607861e+15 -1.2069316e+15),(2.0060045e+24 -1.1581672e+24),(-1.1607861e+15 1.2069316e+15),
