L,lambda,d[0],d[1],d[2],d[3],Z[0],Z[1],Z[2],Z[3],
8,0.43,1.5905024e+605,1.5905024e+605,1.5905024e+605,1.5905024e+605,(6.362009463679324964899205881448568319037078375884172440696867492805724318700899567838597965817538114217840500623564263716296051407653164269360432098697316458554710044173672820156876546096090681780279453430690712805121916473073169658313312701660680167734332639378492789258160334685379979057384939382583053364648e+605 +0),(2.383081239290101838054167405866648122456940170818928569990196275749612513789065761430299022807827099187894936456075417699637766755927772293376556101998076977256434342315043228241585839046574226392620315975849311103910878639984611153781621865247012424713508499062988216195008666660971746596902298604551210225774e+594 +0),(2.892412710098571863198315603248078039548280642148364004728815680761597923845569600327743312730425967966697755930339038499085672714740518921582571335801153680985984120453310271903492229702264967939662161932925497289414369100778877953725968120025439929644905796749591925095805353834136021587434975294292063890131e+559 -4.172493761319859009243662568252177447113667059154426041259001098652405202080740631447192360021698463011301573368839657112412730423652092924760393172421643248300076384320081853746512860081368285211262602855808039696509245312542994412116332977850494431219369326536927189835893338183282797613320408246560695227148e+297),(2.383081239290101838054167405866648122456940170818928569990196275749612513789065761430299022807827099187894936456075417699637766755927772293376556101998076977256434342315043228241585839046574226392620315975849311103910878639984611153781621865247012424713508499062988216195008666660971746596902298613267640359562e+594 -1.307993905256673975767120421215822522657964858038981454399109360803651185455244290152830052265253733065911465963809993683089776960073625541502023629723947119620918917825223508962533521125777727280023703876104306028269279939868013618062200188730110219063866757530095479450736063434158250346338582528000000000000e+297),
8,0.48,4.3968295e+636,4.3968295e+636,4.3968295e+636,4.3968295e+636,(1.758731804559631204668197278953853558146348788689452857432172125175622220462752389943268126048906439674076905927761811700109426427326612201355973182334723857348163066417390835480253947500218193468799237971397024082181638850660738993042841159304915609389910577029402132680619265711901895923342568880497990619090e+637 +0),(9.980871982970554395706351808835349301821427236234009300424642152221538635462377961584811746774446693178111575996800203077588482272558044511940482289388569759684767033626929762826873682799041699630493284049394529588067947306907925016709502594357576926123410741851079185647932700890098845626583153347973873798366e+626 5.305853629099163473739654017028385853919897839577127147455154959874269893571257221564606282502953356366632133966346634169937002165326144519982636071406495594486626366955621223352681306314328410455795765830555928325311888973488264278654408606329328273740531145437577728552689064089498485579745263842649866588854e+328),(8.771014646928827085207166281588418598907775487975843273853711032758800112209925356657499748392125927283732994510496475025479493950940439955626748968416031055186800969388252922841614669997100268368440936262641572980047726474445788645237867174187709486401982638362777477524534504508718617668729176324071823064912e+595 -1.153455920446593851768943495082952463186262559361970205320753895350868086018074650637406013516137117604752140715642128671167253382679525206751632622724721094253389320514832939134509275798673458424941834741949363169164988930980478106988645155581587134672651686063167959371770866963877161938667227560406036489173e+329),(9.980871982970554395706351808835349301821427236234009300424642152221538635462377961584811746774446693178111575996800203077588482272558044511940482289388569759684767033626929762826873682799041699630493284049394529588067947306907925016709502594357576926123410741851079185647932700890098845626583153350383468280445e+626 -7.958780443648745210609481025542578780879846759365690721182732439811404840356885832346909423754430034549948200949519951254905503247989216779973954107109743391729939550433431835029021959471492615683693648745833892487967833460232396417981612909493992410610796718156366592829033596134247728369617895763974799883280e+328),
8,0.53,8.6135493e+660,8.6135493e+660,8.6135493e+660,8.6135493e+660,(3.445419715250827052304351694851002164823668236693906143523953070999013895702472936843135887460653870513129008218070406607675414248180924854181235591319568246071044656248358787657410857387222821028714610807370852732235158445079397274822507334738779571836082213624183531531786629643270834477372240959868058529109e+661 +0),(1.747165427246604561131793498577812001942074427743727322621932387341028654341751835116635205283017989557871504922740091615146597410046643908805488601958148979861546426776764781158718578342676408367937387508179997782660685439898155438639006603094169649244218093736625166441062335048177538175517935862290939863342e+652 6.414383447313960871870583927650986419461639503184217930485768920332469303623492128922598264081793343009937896963939662198940264914489038670432422266426949703939074081054326474996164402559420140052760788954442935523147018726259682033170973422392445275461369669340340040145284901478402830957338501690942002294953e+352),(1.733174156465759795964529363750716535661546947480377947047923014546465715412693495935207071492016321566418451828810710294856374242457940934361719124193071467178980241972296068926994938749731196058789415605357398062487063118574292671550471712179866713661406971520859919293106484210996496268985149147905340452629e+624 -2.259662193055083547037430933185948107875501668374289172881493514622619088436466875114010657419897278496497411248345763999033837956267243106439959385726769708486148527029055791066673293850483220428297813026606303179625120848116408412868801236191119478734916405914035834648083315552830002472432889280698905617634e+353),(1.747165427246604561131793498577812001942074427743727322621932387341028654341751835116635205283017989557871504922740091615146597410046643908805488601958148979861546426776764781158718578342676408367937387508179997782660685439898155438639006603094169649244218093736625166441062335048177538175517935862338144697599e+652 -1.282876689462792174374116785530197283892327900636843586097153784066493860724698425784519652816358668601987579392787932439788052982897807734086484453285389940787814816210865294999232880511884028010552157790888587104629403745251936406634194684478489055092273933868068008029056980295680566191467700338188400458991e+353),
8,0.58,1.203978e+678,1.203978e+678,1.203978e+678,1.203978e+678,(4.815912138597691754219787494321658253601976125671884974888648760385241879940648649460107601981962939215311970739562961817356405411390911452710556337887941748786394417071389091745257672679795548233128451527175105417573011050157666593527640420397689094126001496597323622134333302865300498283145911569888019324053e+678 +0),(1.478760023886356738352775155368249094631165050829190725565112288160458911518390077153069459724066421178287148688403309405371981196182927541828186376374666636365383709051858453902663600513818448642539333411324551595434250678930369473665375833679545214061813301092469382712750535427106914231614793239039613576973e+670 9.244100769003082158126396741128237212073115222980406007486131470333042212382466383157932414011814068326363992470967374785025653104074430029282100390088779529417565958295117974484241462872787620661937975572621627417374481037225279027114145499800077746972303392168833394516284394118570948132273940603659314027734e+369),(4.402615923434911318925734024222042312892923766655453987538930053861078425042437704271082049640749170064518045418833726933449029217065904939955202651484603311793886295692453976207077485242782778369485772681489892848094317092115130369118978799476438238439168929604914354501974158741643887716278833321532962872050e+644 -3.158493143126683826429613114510267611054449885401295665994862401262955119127019228238469007680671407562129751463700241774179341030204511919909707033326780284240828362500223742339732262876157275746964278149311527384033173009956817718585451658367567332662264865276238572376640268831482469801759085196082137198036e+370),(1.478760023886356738352775155368249094631165050829190725565112288160458911518390077153069459724066421178287148688403309405371981196182927541828186376374666636365383709051858453902663600513818448642539333411324551595434250678930369473665375833679545214061813301092469382712750535427106914231614793239046211737820e+670 -1.848820153800616431625279348225647442414623044596081201497226294066608442476493276631586482802362813665272798494193474957005130620814886005856420078017755905883513191659023594896848292574557524132387595114524325483474896207445055805422829099960015549394460678433766678903256878823714189626454788120731862805547e+370),
8,0.63,1.0246073e+688,1.0246073e+688,1.0246072e+688,1.0246073e+688,(4.098429068090023224482833538438755626970494436351103006952309658895138309911838859302491421351820631087554868219520603288884680687387067465778078193535195386154309098662702535602842766835555343243637443400412003921945852107788971888791907560376081124366168125724059287429183262752117383605135003394010719052454e+688 +0),(5.668732453768058035136553170840267909629776882307837937324570958202796011544208411485233551480515156239290596838432526941564598225806377109853918744210553671619105276655256531934587209426856630560640881055131963086352227466573301121602146828827381938994572876353840672992133988220441099310107388358609299511949e+680 2.382186629027801303541238478248005418079054774612435487057291950318208631822210761568963495269544414865666568135287706251079612636182433679536416612017209036924162943128025897012294773024349262345800648623891405764395220294391283920355797130837614507690204365229300116395206432730466218109029731420345795100495e+380),(1.895653239088549326687380872250450192464024113188061956458891619287494737452927962107974421017083459042190592613296819616070252531861056171413379107935427984580302751316371090452776582915771226111922306515222858144496417480704313686679791495798202507856274491016696519714617651094869448401979282253658733534477e+657 -2.687935232747925676634452921889200672482043135218651532790662869518299769324155202604893435813617943295663569679036719558765550100221364239181844257583506536849413174220236602781319289229459051283254049601288437756212664301996865384619717092998111287803843016366387690741045815721091357839538153215567847670307e+380),(5.668732453768058035136553170840267909629776882307837937324570958202796011544208411485233551480515156239290596838432526941564598225806377109853918744210553671619105276655256531934587209426856630560640881055131963086352227466573301121602146828827381938994572876353840672992133988220441099310107388358614914667161e+680 -3.176248838703735071388317970997340557438739699483247316076389267090944842429614348758617993692725886487555424180383608334772816848243244906048555482689612049232217257504034529349726364032465683127734198165188541019193627059188378560474396174450152676920272486972400155193608576973954957478706308560461060133993e+380),
8,0.68,3.8248598e+690,3.8248594e+690,3.824859e+690,3.8248594e+690,(1.529943755849022275848930746694231342034631716339798663803937031687614310178453436399434755352834350651077338119946715932334906590691449191230955376622111840489694345087560462151155009371170409969423737667658898009428696737474278117101889555391750556769735883442398142654942142597468818780522316109894373442475e+691 +0),(7.566663939542739828760415422182687927495863859221469927114617255777043003838298952981896033738051934653817695534469896929768818552231940760953620273261961532189784698629252812624926522782727430250925372518680742974263412732024902854482199507964209497093469547139147962577041812001020330605599576715934128285774e+683 4.065598513540780891377047002876595913521586815338556564577778261876409398309906366411031031926689134704070942950891018668509205565751353479742151017842703423017238089605164197567649745961556074403499773651441332504567842635761124557407227103296195426457948783324672198647818978526662345572744074957390156971511e+382),(1.338325533460673666338254354893155521873229496458073206130720192572379480307149344301284649856653316316949197169115414595773862706110422972180631512907697288109891493466005100956227671171151366289367397219579789102908884219450904929968451515351652214830256611546748758878481546243361197566752437343676389938042e+662 -1.003406293755565365288090490703595767419854920885478998762169143047712140549648656370948161954512989666349445944982542675679350445653795081360403529826245745488864289754417847418879153969150218636271645787929805846912823990564761451405899685645453849897570617162590288851605491102562947717158590911016926188553e+383),(7.566663939542739828760415422182687927495863859221469927114617255777043003838298952981896033738051934653817695534469896929768818552231940760953620273261961532189784698629252812624926522782727430250925372518680742974263412732024902854482199507964209497093469547139147962577041812001020330605599576715936630983314e+683 -8.131197027081561782754094005753191827043173630677113129155556523752818796619812732822062063853378269408141885901782037337018411131502706959484302035685406846034476179210328395135299491923112148806999547302882665009135685271522249114814454206592390852915897566649344397295637957053324691145488149914780313943022e+382),
8,0.73,3.7670137e+685,3.7670126e+685,3.7670115e+685,3.7670126e+685,(1.506805033605489505531780465642042292881915965635147690760220028802635198670022175987449720776951791619897935133224320172107051116048728647669466093950732278941977343189821451284389519084690846337971604580775053995393697272269836641363244856552550173155996506100430910627231746723488626787903209862263869764417e+686 +0),(2.215717303044715858693435125652616090587561266991255679677737137212039908650436204934821219838233083339385249371306129298894592563838443763809009588257371701117563216199358619622228084968578261506655971407779802944278210888934867165517554648295099728985613442778133115162070458013419087992478001451355370962730e+679 +0),(1.145414563551747920708204173988024595498210915286005130236064140933646645427149031723196925384737273781844083260091155326620837965896036796600471090230410509644146355752045120129050552923988570849553115665382128481561455055791229830438893496172831455239963323891056191277170506068179818910555666623382399219545e+659 -9.882307391441755272764652366524289838478756613790629369337532751104674778586424595050810860419985394087847639467926745992404570078790594037486734860589096766302592772444203397165502806524801030278218334029964470098355561225339828437121209558752002262992606971029302919874690206421849655400696582808951081804500e+377),(2.215717303044715858693435125652616090587561266991255679677737137212039908650436204934821219838233083339385249371306129298894592563838443763809009588257371701117563216199358619622228084968578261506655971407779802944278210888934867165517554648295099728985613442778133115162070458013419087992478001451355577406322e+679 -3.101805506546616280652654268552090388123769237776608707105848893643500822685170262459587884465552623523003343926155867514426578953362543853563042463564074266828337165531283720068092152375454768679427927895691934589056276424988650937963277514111477223554953600558984526556258375951127888162799129453575254037103e+377),
8,0.78,4.8165912e+672,4.8165876e+672,4.816584e+672,4.8165876e+672,(1.926635044836654251511110855541160651677558889331287289913720763964659515387602240347257407453824745463493528461179919226212407121612872266686732767510989909067192524343702923093195718263588789934031031395826493192031877683918722735206428091718386578279024115851849290801061642932348339131710656382023588598022e+673 +0),(7.245929202603047529964898593933977615877643858390775157281080483883226108822306002219475023428538566070449492083423583950140327695946539477114649041456641390516636362568629262551179944599451073151110424315876100683412499216098764721482913240975557587176762630320910156835352028180594675451583975816550325795033e+666 3.526344592667801726580198952151579747037168587867891695970966899998871693566309502852604833225942256289048764217745733179102193109159252177918281703982841312186266310995146932405182442807307289376044454793022776572179596342935668574185999107284575556553765637271436078840745694777897242787274910203422284709066e+364),(6.784224933511346960152923779747239430331645487373164817907039683572209853446257853666024589247673128626998777936490753564966396971839779240903176766402840576934049131511957211755890514577625158624609023798288883467523383587918085439574064774490764030124455432039174481355946270842892088442563010034789812356032e+647 -1.263573803258424354036914160464271047817170447951927908487916841148672852542617461291977392321787125191695812692453014910381251620844871569586364447657095192162872037378376847717577441662967470459884228903124723567898059187233928309585001547626230618483406880203072100803954636301119108991177403223495319589184e+365),(7.245929202603047529964898593933977615877643858390775157281080483883226108822306002219475023428538566070449492083423583950140327695946539477114649041456641390516636362568629262551179944599451073151110424315876100683412499216098764721482913240975557587176762630320910156835352028180594675451583975816550589758493e+666 -7.052689185335603453160397904303159494074337175735783391941933799997743387132619005705209666451884512578097528435491466358204386218318504355836563407965682624372532621990293864810364885614614578752088909586045553144359192685871337148371998214569151113107531274542872157681491389555794485574549820406844569418132e+364),
8,0.83,3.1191968e+651,3.1191915e+651,3.1191862e+651,3.1191915e+651,(1.247676611816438037439038317628750693014448737482367193603016520313297543127449142043470530227678184244754795527379788936671173689634032067089153061775194731522144120618265147394608971243830110780249692012106578541303106726519070442714656749239466997294358266436076305817609775179165039666651520943221313823917e+652 +0),(1.058866253276421184700983635238455130731394833925699284494659911704292429812224422616239470737969799570140828067909497161179847328523714029507206333743606163757526178786259291027515574300331653228779656590635104875250123142500114602444740724199613876988600866640035486277712699270369315470000876870846803900697e+646 2.986930053361673314064081724570592129352334655441445266122822147017563368949802652430999215730369716421672095062183058913303662517335749543473321137217315707327366844310577248687001132666794648418557266217862691508208875882560239188918365827944337052973625096185291204669179814624787695220363559988765978391726e+343),(1.210215323441855986986061854134816955425376787123771811355826134516973343921275876232568280629737286548478498102204155512968411091106155082760103871350008089888428084851587042499527747628071203947749426354581052175229506288047923574308030403906782305234488679321822742483255913051168545488718362958458676632086e+628 -8.182818267835052430265733516660530200892955358217423862287354199043474436731199869635128252223338013417090336259954300275563312191546963685831299482795157355236697875374959883964998133620004068599027774619678699789476143623091177090086130719203389545327001540849996196665400167341038644329781740114015492900745e+343),(1.058866253276421184700983635238455130731394833925699284494659911704292429812224422616239470737969799570140828067909497161179847328523714029507206333743606163757526178786259291027515574300331653228779656590635104875250123142500114602444740724199613876988600866640035486277712699270369315470000876870846823981736e+646 -5.973860106723346628128163449141184258704669310882890532245644294035126737899605304861998431460739432843344190124366117826607325034671499086946642274434631414654733688621154497374002265333589296837114532435725383016417751765120478377836731655888674105947250192370582409338359629249575390440727119977531956783452e+343),
8,0.88,3.0192425e+621,3.0192321e+621,3.0192217e+621,3.0192321e+621,(1.207692840021444158587819397625312499675214695401158513189411883898962466887884939621539074078835363282196329523335316132605389118113814565339543661170863776070094211806410320458032138805476694175553043892512131080432245981080121545813868586747750415700222262957267123441704509049350751903539382220173065785805e+622 +0),(2.080239775189913953302665299220513796164248948295829494732568943980081196698986787352603598234970652489930162916030354384238613534745788015287255272911258313074645097377483391846870857322502426065925671897092045487601266021011409483069865919794789087742742835104905470827964058074596319070611430163858477479739e+616 2.356272345726734706578954899670990498847754785839260071014302759750633728317862223973036553960260056136025556646250327017505289257804321554338249842877715243044279332698396888613548452757452804842495448869568587613315408623599129480054873922480730762947467813645009528290636541964841337550737982483650630611318e+313),(2.083389911082656986243446198959340903901557642962557496269937223971314743940348718951977220218247116881021193424591568783172149272262840415728649421784140523385087849996682444288886314468141382146005121121992780990041993761468528358587729939814738971767741873886731269938440239909856994719468455443728016611921e+599 -7.920577266032148687336262370533633295550031614172430825471243842629578087375869519196564778431456742992105639319020394956374235930583599924188330144272779724274181642221036881287917009929538711714426306193767552214209168240033692369946833972713197561946165497127284469499621369247196169495732654149116902898559e+313),(2.080239775189913953302665299220513796164248948295829494732568943980081196698986787352603598234970652489930162916030354384238613534745788015287255272911258313074645097377483391846870857322502426065925671897092045487601266021011409483069865919794789087742742835104905470827964058074596319070611430163858494026049e+616 -4.712544691453469413157909799341980997695509571678520142028605519501267456635724447946073107920520112272051113292500654035010578515608643108676499685755430486088558665396793777227096905514905609684990897739137175226630817247198258960109747844961461525894935627290019056581273083929682675101475964967301261222635e+313),
